codigo_material,descricao,categoria,unidade_medida,preco_unitario,estoque_atual,estoque_minimo,fornecedor_principal,data_cadastro,ultima_movimentacao,status,centro_custo,ncm,localizacao_fisica,responsavel_cadastro
MAT-00673,Furadeira Plástico,Ferramentas,GL,87.12,5,169,,2025-10-31,2025-12-03,Ativo,PRO-001,73089474,,Fernanda Rocha
MAT-00674,Ácido Inox,Químico,L,1.51,673,,Distribuidora XYZ,2024-07-19,2025-04-23,Ativo,LOG-002,39269356,B-10-03,Fernanda Rocha
MAT-00675,Clips Alumínio,Escritório,M²,1.4,3457,201,Comercial DEF,2024-06-29,2025-01-08,Ativo,,85443114,B-02-02,Carlos Oliveira
MAT-00676,Rolamento Alumínio,Mecânico,CX,1752.1,4728,,,2025-03-30,2025-12-15,Ativo,ADM-001,85369220,F-09-05,Paula Lima
MAT-00677,LED PVC,Eletrônico,RL,4.62,790,,Nacional MNO,2025-08-17,2025-08-17,Ativo,MAN-002,73181656,B-04-02,Fernanda Rocha
MAT-00678,Rolamento Alumínio,Peças,L,3.14,3573,293,Distribuidora XYZ,2025-11-02,2025-12-01,Inativo,ADM-001,,,Ana Costa
MAT-00679,Catalisador Alumínio,Químico,GL,8.02,2970,286,Industrial GHI,2025-02-26,2025-03-16,Ativo,,84841796,B-20-02,Carlos Oliveira
MAT-00680,Bota Latão,EPI,UN,9.49,2428,209,,2024-06-09,2024-12-05,Ativo,LOG-002,40169100,A-09-05,Pedro Souza
MAT-00681,registro Aço,Hidráulico,L,1662.64,1986,210,Comercial DEF,2024-06-06,2025-02-13,Ativo,LOG-002,73269172,B-09-02,Ricardo Alves
MAT-00682,Martelo Inox,Ferramentas,M²,0.21,960,276,,2024-07-04,2025-02-15,Bloqueado,LOG-002,85369405,A-18-05,Fernanda Rocha
MAT-00683,Tomada PVC,Elétrico,UN,90.2,924,330,Materiais STU,2025-12-13,2026-11-20,Bloqueado,MAN-001,39269635,A-03-05,Paula Lima
MAT-00684,Mangueira Latão,Hidráulico,PCT,67.43,2295,,Importadora JKL,2024-04-14,2024-10-10,Ativo,MAN-002,,A-01-01,Fernanda Rocha
MAT-00685,Mangueira Inox,Hidráulico,M²,1583.75,3996,,,2024-07-04,2024-10-22,Ativo,ADM-001,84841704,F-04-05,Maria Santos
MAT-00686,Alicate Alumínio,Ferramentas,PCT,7.21,326,187,Materiais STU,2025-06-24,2026-01-04,Ativo,MAN-002,,,Carlos Oliveira
MAT-00687,Arruela Aço,Fixação,PCT,7.32,2076,,Nacional MNO,2024-05-19,2024-09-06,Bloqueado,LOG-001,73269569,F-09-02,Ana Costa
MAT-00688,Óculos Cobre,EPI,CX,1.8,4094,448,,2024-08-12,2025-02-25,Ativo,,40169203,F-03-04,Paula Lima
MAT-00689,Desinfetante Latão,Limpeza,M²,4.91,2760,422,Materiais STU,2024-10-02,2024-12-07,Ativo,LOG-001,84841294,E-10-05,Pedro Souza
MAT-00690,Fluido Inox,Lubrificante,KG,272.03,4898,478,Suprimentos PQR,2024-07-30,2025-01-02,Ativo,MAN-002,,A-10-05,Maria Santos
MAT-00691,Sensor Latão,Eletrônico,M²,526.49,1793,135,,2025-07-08,2025-08-24,Ativo,,00000000,E-16-04,Ricardo Alves
MAT-00692,Máscara Inox,EPI,GL,6.31,3171,392,Importadora JKL,2024-08-08,2024-11-04,Inativo,,,C-18-03,Maria Santos
MAT-00693,Base Latão,Químico,M,5.83,791,,Fornecedor VWX,2025-10-09,2026-01-09,Ativo,ADM-001,39269837,C-18-02,Fernanda Rocha
MAT-00694,Cilindro Plástico,Pneumático,RL,0.74,1403,,Fornecedor VWX,2024-07-15,2024-07-15,Ativo,,85443165,F-12-01,Pedro Souza
MAT-00695,Detergente Cobre,Limpeza,PCT,9.43,3246,120,Materiais STU,2025-06-10,2026-02-21,Ativo,MAN-001,39269683,E-14-02,Paula Lima
MAT-00696,Retentor Aço,Peças,CX,7.77,581,324,Distribuidora XYZ,2026-02-17,2026-05-07,Ativo,ADM-001,85443955,B-01-04,Maria Santos
MAT-00697,Resistor Plástico,Eletrônico,PCT,3.87,3886,80,Nacional MNO,2025-11-24,2026-04-15,Ativo,PRO-001,39174358,,Pedro Souza
MAT-00698,Correia PVC,Mecânico,KG,77.66,4291,141,Metalúrgica ABC,2025-08-02,2026-05-07,Ativo,PRO-001,73269197,B-01-05,João Silva
MAT-00699,Rebite em PVC,Fixação,KG,1.97,4081,103,Fornecedor VWX,2025-03-26,2025-03-31,Ativo,ADM-001,73269687,B-15-02,Carlos Oliveira
MAT-00700,Rolamento Alumínio,Peças,M²,1.17,1477,,Fornecedor VWX,2024-11-25,2025-07-25,Ativo,ADM-001,85443727,C-15-05,Ricardo Alves
MAT-00701,Óleo Cobre,Lubrificante,CX,22.72,4020,,Suprimentos PQR,2024-11-22,2024-11-22,Ativo,ADM-001,84841779,F-11-05,Ricardo Alves
MAT-00702,Graxa PVC,Lubrificante,RL,3.0,3492,216,Suprimentos PQR,2024-08-13,2024-08-13,Bloqueado,LOG-001,73269674,D-20-04,Pedro Souza
MAT-00703,Caixa Alumínio,Embalagem,M,3.14,4812,392,Fornecedor VWX,2025-05-05,2025-05-05,Ativo,LOG-001,40169494,B-12-05,João Silva
MAT-00704,Junta Cobre,Peças,L,6.84,366,476,Industrial GHI,2024-03-25,2024-06-23,Ativo,LOG-001,,B-19-05,João Silva
MAT-00705,Porca M6 Cobre,Fixação,UN,6.63,2709,100,Suprimentos PQR,2025-01-29,2025-07-06,Ativo,,85443713,B-20-03,Ricardo Alves
MAT-00706,Pasta Inox,Escritório,M²,10.92,3388,203,,2024-07-19,2025-03-01,Ativo,ADM-001,73181741,F-13-01,Fernanda Rocha
MAT-00707,Disjuntor Aço,Elétrico,KG,1603.26,544,103,Fornecedor VWX,2024-04-16,2025-02-26,Inativo,MAN-001,73089393,C-19-03,Maria Santos
MAT-00708,Pasta Latão,Lubrificante,M,5.59,4079,112,Comercial DEF,2025-10-24,2026-06-17,Bloqueado,,84841334,A-13-02,Maria Santos
MAT-00709,Óleo Inox,Lubrificante,CX,22.85,4890,,Metalúrgica ABC,2024-03-15,2024-04-16,Ativo,PRO-001,73269144,E-01-02,Paula Lima
MAT-00710,Anel PVC,Peças,UN,23.78,2390,268,,2025-06-12,2025-07-01,Ativo,PRO-001,85369125,D-03-02,Pedro Souza
MAT-00711,Capacete Alumínio,EPI,UN,223.75,4243,283,Metalúrgica ABC,2025-09-12,2026-02-02,Ativo,LOG-001,85443206,F-08-01,Ricardo Alves
MAT-00712,Parafuso M12 Latão,Fixação,KG,7.65,288,298,Fornecedor VWX,2024-07-27,2024-07-27,Inativo,MAN-001,84831496,D-08-04,Pedro Souza
MAT-00713,Sensor Plástico,Eletrônico,L,89.15,1833,,Importadora JKL,2024-05-13,2024-11-05,Ativo,LOG-002,73269857,,Carlos Oliveira
MAT-00714,Rebite Cobre,Fixação,M,1.34,2891,,Suprimentos PQR,2024-11-10,2025-05-11,Bloqueado,MAN-002,39174574,C-11-03,Ricardo Alves
MAT-00715,Disjuntor Inox,Elétrico,M,9.49,2977,470,Materiais STU,2024-08-30,2025-01-16,Ativo,LOG-002,39174244,,Fernanda Rocha
MAT-00716,Conexão Aço,Pneumático,CX,1.65,3148,489,Fornecedor VWX,2024-05-26,2024-05-26,Ativo,MAN-002,84831783,B-09-05,Carlos Oliveira
MAT-00717,Clips Latão,Escritório,L,52.17,1069,400,Materiais STU,2025-01-08,2025-07-20,Ativo,PRO-001,84841905,,João Silva
MAT-00718,Gancho em Latão,Acessórios,M,9.58,2519,440,Distribuidora XYZ,2025-12-31,2026-09-15,Bloqueado,MAN-002,,B-10-03,Maria Santos
MAT-00719,Graxa Inox,Lubrificante,KG,6.22,1296,297,Fornecedor VWX,2024-07-28,2024-09-20,Ativo,LOG-001,85443555,A-02-02,Ricardo Alves
MAT-00720,Papelão Inox,Embalagem,CX,5.89,1489,,Metalúrgica ABC,2025-01-31,2025-08-24,Ativo,,84841478,,Pedro Souza
MAT-00721,Caneta Aço,Escritório,M,3.27,680,191,Materiais STU,2025-01-16,2025-01-16,Ativo,MAN-001,,,João Silva
MAT-00722,Fita Aço,Embalagem,M²,99.65,2764,30,Importadora JKL,2025-04-03,2025-08-31,Ativo,,,B-20-01,João Silva
MAT-00723,Válvula Plástico,Pneumático,UN,2.78,3073,181,Nacional MNO,2025-01-30,2025-07-03,Ativo,LOG-002,73269836,C-18-02,Fernanda Rocha
MAT-00724,Cilindro Plástico,Pneumático,KG,9.14,4168,,Distribuidora XYZ,2025-05-26,2025-05-26,Ativo,LOG-001,85443482,A-05-05,Ana Costa
MAT-00725,Óleo Aço,Lubrificante,CX,6.21,1279,308,,2025-11-26,2026-09-20,Ativo,ADM-001,84841157,F-05-02,Maria Santos
MAT-00726,Cabo 10mm² Aço,Elétrico,M,74.53,3169,174,Fornecedor VWX,2025-11-22,2026-10-25,Bloqueado,ADM-001,,C-19-01,Fernanda Rocha
MAT-00727,Cabo 4mm² Aço,Elétrico,M²,1129.8,1551,,Distribuidora XYZ,2024-09-22,2024-12-18,Ativo,,39269266,D-19-03,Ricardo Alves
MAT-00728,Óculos Inox,EPI,CX,5.35,2061,,Comercial DEF,2024-05-09,2024-05-09,Ativo,,73181734,D-03-04,João Silva
MAT-00729,Solvente PVC,Químico,CX,6.09,539,301,Importadora JKL,2024-04-04,2024-10-11,Ativo,PRO-001,85369479,D-10-04,Paula Lima
MAT-00730,Capacete Alumínio,EPI,CX,89.2,2657,482,Suprimentos PQR,2025-08-13,2026-02-01,Ativo,,39174529,A-05-03,Ricardo Alves
MAT-00731,Anel Plástico,Peças,PCT,6.65,1415,,Comercial DEF,2024-05-17,2024-12-01,Bloqueado,LOG-002,40169445,B-01-04,Ricardo Alves
MAT-00732,Lâmpada PVC,Elétrico,RL,5.04,3564,495,Comercial DEF,2025-04-19,2025-04-19,Ativo,LOG-001,84841431,,Pedro Souza
MAT-00733,Lâmpada Plástico,Elétrico,PCT,96.12,1299,,Importadora JKL,2025-06-28,2026-03-14,Ativo,ADM-001,85443642,,Carlos Oliveira
MAT-00734,Sensor em Aço,Eletrônico,PCT,95.01,1912,475,Nacional MNO,2024-07-25,2024-10-16,Ativo,ADM-001,73269815,,Ana Costa
MAT-00735,Catalisador Inox,Químico,M,52.28,158,170,,2024-06-26,2024-07-22,Ativo,LOG-001,73089602,D-20-03,Maria Santos
MAT-00736,Fita Latão,Embalagem,L,80.0,3880,,Industrial GHI,2025-01-21,2025-06-11,Bloqueado,ADM-001,85443902,C-11-04,Paula Lima
MAT-00737,Desinfetante Latão,Limpeza,M,6.02,986,161,Metalúrgica ABC,2024-08-23,2025-04-24,Ativo,LOG-002,39174533,F-01-03,Pedro Souza
MAT-00738,válvula Aço,Hidráulico,KG,79.82,1209,238,Suprimentos PQR,2025-09-29,2026-02-27,Ativo,LOG-001,40169566,C-07-05,Fernanda Rocha
MAT-00739,Filtro Inox,Pneumático,UN,1748.7,4526,254,Nacional MNO,2025-09-10,2026-05-01,Ativo,PRO-001,39174761,C-13-02,Paula Lima
MAT-00740,Pano PVC,Limpeza,UN,0.65,1080,,Distribuidora XYZ,2026-01-19,2026-03-20,Ativo,ADM-001,,B-03-03,Paula Lima
MAT-00741,Sensor PVC,Eletrônico,RL,15.59,3410,,Suprimentos PQR,2025-12-02,2025-12-02,Ativo,MAN-002,,C-08-02,João Silva
MAT-00742,Clips Aço,Escritório,RL,516.1,1905,496,,2024-03-26,2024-11-20,Ativo,,39174874,F-13-01,Pedro Souza
MAT-00743,Papelão Alumínio,Embalagem,UN,62.45,58,188,Distribuidora XYZ,2026-01-30,2026-08-31,Ativo,MAN-002,,E-01-05,Pedro Souza
MAT-00744,Mangueira Alumínio,Pneumático,M,2.64,1603,177,,2024-08-03,2024-10-05,Bloqueado,LOG-001,85369717,F-17-04,Ana Costa
MAT-00745,"Cabo 2,5mm² Plástico",Elétrico,M,61.32,2446,436,Industrial GHI,2025-10-31,2026-03-26,Bloqueado,LOG-001,39269680,C-07-05,João Silva
MAT-00746,Válvula Latão,Pneumático,CX,95.21,3183,,,2026-02-11,2026-10-27,Ativo,MAN-002,00000000,E-10-02,Maria Santos
MAT-00747,Detergente Latão,Limpeza,UN,9.31,2485,237,Suprimentos PQR,2025-11-06,2025-12-05,Ativo,,39269761,B-14-03,Maria Santos
MAT-00748,Cilindro PVC,Pneumático,KG,33.65,1676,71,,2024-12-23,2025-01-21,Ativo,LOG-001,84841842,B-15-05,Pedro Souza
MAT-00749,Filtro Plástico,Pneumático,M,1388.24,244,29,Materiais STU,2026-01-31,2026-07-02,Ativo,LOG-001,84831145,F-03-03,Pedro Souza
MAT-00750,Ácido Latão,Químico,M²,1.96,3669,424,Metalúrgica ABC,2024-10-21,2025-07-31,Inativo,ADM-001,85369910,,Paula Lima
MAT-00751,Alicate Plástico,Ferramentas,GL,1351.34,3041,,Fornecedor VWX,2024-06-21,2025-04-03,Ativo,MAN-002,85443694,D-12-04,Paula Lima
MAT-00752,Graxa Latão,Lubrificante,RL,4.14,3536,54,Importadora JKL,2025-04-30,2025-09-18,Bloqueado,MAN-002,73089982,F-06-01,Paula Lima
MAT-00753,Capacete Alumínio,EPI,L,5.78,1686,432,Suprimentos PQR,2024-05-24,2024-05-28,Ativo,ADM-001,84841689,A-09-05,Carlos Oliveira
MAT-00754,Base em Plástico,Químico,GL,5.28,3217,122,Nacional MNO,2025-07-06,2025-07-06,Ativo,PRO-001,85369259,F-07-01,Maria Santos
MAT-00755,Caixa Cobre,Embalagem,M,3.1,1714,287,,2025-09-29,2025-09-29,Ativo,LOG-001,,B-06-01,Maria Santos
MAT-00756,Cilindro Plástico,Pneumático,PCT,1235.37,2811,208,Nacional MNO,2024-11-17,2025-08-07,Bloqueado,PRO-001,84831707,,Fernanda Rocha
MAT-00757,Resistor PVC,Eletrônico,PCT,7.72,3462,362,,2025-03-01,2025-08-12,Ativo,MAN-002,73181599,A-16-03,Maria Santos
MAT-00758,Chave Plástico,Ferramentas,CX,98.56,281,175,Importadora JKL,2025-06-17,2025-11-05,Ativo,ADM-001,,A-05-05,João Silva
MAT-00759,Presilha Aço,Acessórios,RL,60.85,4388,,,2024-09-23,2025-08-31,Bloqueado,LOG-002,85369400,B-02-03,Paula Lima
MAT-00760,correia Latão,Mecânico,RL,44.86,1446,405,Suprimentos PQR,2025-11-03,2025-11-03,Ativo,,84831965,D-08-04,Maria Santos
MAT-00761,Martelo Inox,Ferramentas,UN,43.0,3522,20,Fornecedor VWX,2025-09-08,2026-06-13,Ativo,MAN-002,85369134,C-14-05,Ricardo Alves
MAT-00762,Chave PVC,Ferramentas,CX,55.64,1992,,Comercial DEF,2025-12-19,2026-01-12,Ativo,PRO-001,39269556,,Pedro Souza
MAT-00763,Fita Alumínio,Embalagem,GL,484.65,2460,78,,2025-12-17,2025-12-17,Ativo,LOG-001,73089781,C-19-05,João Silva
MAT-00764,Mangueira Inox,Pneumático,M,1002.04,3921,119,Distribuidora XYZ,2025-10-06,2026-06-17,Ativo,LOG-002,,E-05-01,Fernanda Rocha
MAT-00765,Máscara Inox,EPI,PCT,3.68,1846,433,Importadora JKL,2025-12-11,2025-12-11,Ativo,MAN-002,73181297,F-12-04,Fernanda Rocha
MAT-00766,Desinfetante Plástico,Limpeza,GL,6.5,1288,133,Fornecedor VWX,2025-07-08,2026-02-05,Ativo,MAN-002,,,Paula Lima
MAT-00767,Mangueira Plástico,Pneumático,CX,58.18,2679,,Importadora JKL,2025-01-17,2025-08-06,Bloqueado,MAN-002,84831811,E-20-05,Carlos Oliveira
MAT-00768,Caixa Cobre,Embalagem,CX,6.2,515,138,Importadora JKL,2025-03-15,2025-12-08,Ativo,,73269345,E-07-03,Pedro Souza
MAT-00769,Registro Cobre,Hidráulico,M²,6.73,1542,,,2025-03-17,2025-05-19,Ativo,,73269829,E-18-03,Ana Costa
MAT-00770,Fluido Alumínio,Lubrificante,M²,2.14,2763,103,Materiais STU,2024-11-07,2025-05-23,Ativo,ADM-001,85369650,C-05-03,Maria Santos
MAT-00771,Conexão Latão,Pneumático,PCT,0.0,2087,485,Materiais STU,2025-10-19,2026-06-04,Ativo,ADM-001,00000000,B-09-01,Ricardo Alves
MAT-00772,Clips Aço,Escritório,PCT,22.58,1006,195,Metalúrgica ABC,2024-10-10,2024-10-10,Ativo,ADM-001,73089374,B-04-04,Ana Costa
MAT-00773,Prego em Aço,Fixação,M²,31.66,1805,326,Importadora JKL,2024-04-18,2024-07-03,Ativo,LOG-001,,C-08-02,Ricardo Alves
MAT-00774,Registro Aço,Hidráulico,KG,6.18,2209,424,,2024-08-18,2025-02-11,Ativo,LOG-002,,B-06-02,Pedro Souza
MAT-00775,Martelo Cobre,Ferramentas,PCT,30.9,671,,Materiais STU,2026-02-20,2026-11-12,Inativo,LOG-001,,C-07-04,Ricardo Alves
MAT-00776,spray PVC,Lubrificante,RL,3.79,633,,Suprimentos PQR,2024-09-05,2024-10-30,Ativo,MAN-001,73269514,,Ana Costa
MAT-00777,Eixo Aço,Mecânico,M,0.74,179,209,,2024-06-19,2025-02-23,Inativo,PRO-001,85369534,A-14-03,Paula Lima
MAT-00778,Válvula PVC,Hidráulico,L,62.69,4236,,,2025-05-24,2025-12-01,Ativo,LOG-001,39269192,,João Silva
MAT-00779,Filtro PVC,Pneumático,M²,928.2,1523,,Suprimentos PQR,2025-12-04,2025-12-04,Ativo,LOG-001,,E-06-03,Fernanda Rocha
MAT-00780,Correia Aço,Mecânico,M,0.86,831,147,Comercial DEF,2025-09-05,2026-04-17,Ativo,,,E-06-02,João Silva
MAT-00781,LED Alumínio,Eletrônico,GL,0.66,1105,95,Metalúrgica ABC,2025-09-01,2025-12-17,Ativo,,40169573,B-15-02,Maria Santos
MAT-00782,Ácido Cobre,Químico,UN,817.11,4,157,Materiais STU,2025-06-14,2026-03-25,Inativo,ADM-001,73089843,D-17-04,Paula Lima
MAT-00783,Fluido Cobre,Lubrificante,PCT,5.28,3339,,Fornecedor VWX,2024-06-13,2024-06-15,Ativo,LOG-001,,C-04-05,Ricardo Alves
MAT-00784,engrenagem PVC,Mecânico,M,2.23,1205,240,Comercial DEF,2025-02-04,2025-07-18,Ativo,LOG-002,73181332,D-09-04,Ricardo Alves
MAT-00785,Papelão PVC,Embalagem,RL,1923.27,2010,,Comercial DEF,2024-02-25,2024-07-13,Ativo,LOG-001,73269576,D-14-01,Pedro Souza
MAT-00786,módulo Plástico,Eletrônico,KG,27.41,4151,94,,2024-09-17,2025-08-29,Ativo,LOG-001,73181621,B-17-03,João Silva
MAT-00787,Plástico Latão,Embalagem,CX,2.92,417,420,,2025-01-06,2025-07-18,Inativo,ADM-001,73181782,,Maria Santos
MAT-00788,Tomada Cobre,Elétrico,M²,1548.01,1608,57,,2025-02-02,2025-02-02,Ativo,MAN-001,73181236,B-14-05,Ana Costa
MAT-00789,Eixo Alumínio,Mecânico,M,225.83,306,145,,2025-09-21,2026-04-20,Ativo,PRO-001,85369216,A-15-03,Paula Lima
MAT-00790,Vedação Alumínio,Peças,CX,3.33,1274,351,Fornecedor VWX,2024-10-31,2024-12-19,Ativo,LOG-001,39174594,C-11-05,Pedro Souza
MAT-00791,Caixa Alumínio,Embalagem,M²,381.15,1831,442,,2025-01-05,2025-07-30,Ativo,,73089617,C-14-04,Ricardo Alves
MAT-00792,Pano Aço,Limpeza,RL,6.66,2571,484,Metalúrgica ABC,2025-03-21,2025-04-13,Inativo,MAN-002,73181441,C-04-03,Ana Costa
MAT-00793,Papelão Alumínio,Embalagem,PCT,2.94,1350,182,Comercial DEF,2024-10-08,2025-02-02,Ativo,LOG-001,84841184,F-01-02,Ricardo Alves
MAT-00794,Fita Aço,Embalagem,UN,1969.03,3004,,,2025-11-21,2025-11-30,Ativo,MAN-001,73269202,A-19-01,João Silva
MAT-00795,Desinfetante Latão,Limpeza,PCT,4.95,2189,,Importadora JKL,2026-02-23,2026-02-23,Ativo,,84841573,E-09-02,Maria Santos
MAT-00796,Fita Cobre,Embalagem,PCT,6.68,3872,424,Materiais STU,2024-06-12,2024-09-11,Ativo,,39174528,B-10-03,Ana Costa
MAT-00797,Conexão Cobre,Hidráulico,KG,1762.77,1209,65,Materiais STU,2024-11-08,2025-03-23,Ativo,PRO-001,73269693,B-16-04,Ricardo Alves
MAT-00798,Serra Cobre,Ferramentas,M,6.6,2983,90,Suprimentos PQR,2024-05-05,2024-05-22,Ativo,MAN-001,39174291,D-15-04,Paula Lima
MAT-00799,Plástico Cobre,Embalagem,PCT,9.58,4641,454,Comercial DEF,2025-10-10,2025-10-10,Inativo,LOG-001,85369996,,Carlos Oliveira
MAT-00800,Registro Plástico,Hidráulico,M,4.24,75,333,Nacional MNO,2024-09-16,2025-01-06,Ativo,LOG-001,84841594,E-07-02,Carlos Oliveira
MAT-00801,Módulo PVC,Eletrônico,GL,0.0,1611,232,Metalúrgica ABC,2024-03-29,2024-10-20,Ativo,ADM-001,85369145,C-11-01,Ricardo Alves
MAT-00802,Detergente Plástico,Limpeza,PCT,9.15,4986,,Industrial GHI,2024-05-22,2024-06-30,Bloqueado,MAN-001,40169767,A-08-05,Pedro Souza
MAT-00803,Rolamento Alumínio,Mecânico,M,4.55,3252,11,Suprimentos PQR,2025-05-28,2025-05-28,Inativo,LOG-001,,F-10-05,João Silva
MAT-00804,Fita Alumínio,Embalagem,M²,8.57,3186,297,Nacional MNO,2024-07-09,2024-07-28,Ativo,,39174181,C-08-04,João Silva
MAT-00805,Alicate Inox,Ferramentas,M²,91.54,1671,,Comercial DEF,2025-10-14,2026-02-13,Ativo,LOG-001,,,Maria Santos
MAT-00806,Graxa Aço,Lubrificante,CX,1555.4,4379,248,Fornecedor VWX,2025-05-23,2026-01-07,Ativo,LOG-001,00000000,A-12-02,Ricardo Alves
MAT-00807,Fluido PVC,Lubrificante,KG,0.0,2802,92,Fornecedor VWX,2025-08-14,2025-09-14,Bloqueado,PRO-001,73269130,C-13-04,Maria Santos
MAT-00808,Pasta Inox,Lubrificante,RL,7.5,548,,Industrial GHI,2024-09-17,2025-04-27,Bloqueado,MAN-002,73269757,C-07-01,João Silva
MAT-00809,Caixa Alumínio,Embalagem,CX,4.21,60,171,Materiais STU,2025-08-15,2026-06-03,Ativo,ADM-001,,D-18-05,Paula Lima
MAT-00810,Chave Latão,Ferramentas,CX,58.34,3486,,Metalúrgica ABC,2024-05-25,2024-10-18,Ativo,PRO-001,40169935,,Paula Lima
MAT-00811,Rolamento Alumínio,Peças,RL,36.98,186,23,Importadora JKL,2024-12-29,2025-02-26,Ativo,MAN-001,84841197,C-11-03,Maria Santos
MAT-00812,Disjuntor Alumínio,Elétrico,M,691.83,4507,396,Fornecedor VWX,2024-07-13,2025-07-02,Ativo,ADM-001,40169202,D-02-03,Ricardo Alves
MAT-00813,Alicate PVC,Ferramentas,L,1903.07,4819,12,,2024-04-21,2024-12-12,Ativo,,73089209,,Ana Costa
MAT-00814,Martelo Inox,Ferramentas,KG,0.27,1789,383,Comercial DEF,2025-03-18,2025-09-07,Ativo,MAN-002,73181797,,Ana Costa
MAT-00815,Fita Aço,Embalagem,PCT,1102.78,2820,79,Suprimentos PQR,2024-08-12,2025-04-13,Ativo,MAN-001,,A-14-03,Fernanda Rocha
MAT-00816,Rebite Alumínio,Fixação,M²,5.81,4753,71,Industrial GHI,2025-10-29,2026-02-19,Ativo,PRO-001,73181848,A-13-02,Ana Costa
MAT-00817,Filtro Aço,Pneumático,KG,0.24,876,184,,2025-10-31,2026-09-09,Ativo,MAN-001,,D-17-03,Fernanda Rocha
MAT-00818,Caneta Inox,Escritório,M,8.6,1988,260,Materiais STU,2025-08-01,2025-08-01,Ativo,,39174574,,Fernanda Rocha
MAT-00819,Capacete em Plástico,EPI,L,25.94,112,252,,2025-05-03,2025-05-03,Ativo,PRO-001,39269560,B-09-04,Ricardo Alves
MAT-00820,Conexão Inox,Pneumático,L,545.4,3980,206,Industrial GHI,2025-09-12,2026-03-21,Ativo,,,C-17-03,Maria Santos
MAT-00821,Filtro Latão,Pneumático,PCT,1177.6,877,133,,2024-04-20,2025-02-25,Ativo,PRO-001,85369641,A-05-01,Paula Lima
MAT-00822,Fluido Plástico,Lubrificante,UN,26.86,2509,379,Suprimentos PQR,2024-03-19,2024-12-10,Ativo,PRO-001,39174785,E-19-05,Paula Lima
MAT-00823,Furadeira Alumínio,Ferramentas,M,87.2,2923,251,Industrial GHI,2025-01-30,2025-03-24,Inativo,ADM-001,73181806,,Carlos Oliveira
MAT-00824,"Tubo 1.1/4"" Inox",Hidráulico,KG,1980.57,4493,,Comercial DEF,2024-12-30,2025-03-24,Ativo,LOG-001,73181362,A-19-04,Maria Santos
MAT-00825,Filtro Plástico,Pneumático,KG,31.3,973,57,Importadora JKL,2024-05-06,2025-01-15,Ativo,,,C-18-02,João Silva
MAT-00826,Abraçadeira Latão,Acessórios,CX,1057.03,1878,483,Importadora JKL,2024-10-10,2024-10-10,Ativo,MAN-002,73089812,B-01-01,João Silva
MAT-00827,Caneta Inox,Escritório,M,7.35,1604,433,Industrial GHI,2025-05-18,2025-12-02,Ativo,,,,Maria Santos
MAT-00828,Base Cobre,Químico,M²,4.38,518,,Comercial DEF,2025-07-29,2025-10-24,Ativo,LOG-001,,F-14-01,Maria Santos
MAT-00829,Graxa Aço,Lubrificante,KG,72.97,1361,146,Fornecedor VWX,2025-09-15,2026-03-19,Ativo,MAN-002,00000000,E-18-05,Ana Costa
MAT-00830,Fita Alumínio,Embalagem,RL,33.42,1754,484,Metalúrgica ABC,2024-12-15,2025-05-19,Bloqueado,LOG-001,84831218,F-05-01,Ana Costa
MAT-00831,catalisador Latão,Químico,PCT,5.85,1107,37,,2024-03-08,2024-04-12,Ativo,,73089978,E-18-01,Ana Costa
MAT-00832,Luva XG PVC,EPI,M²,59.4,1460,,Suprimentos PQR,2024-08-07,2024-09-21,Ativo,PRO-001,,B-20-04,Maria Santos
MAT-00833,Bucha Aço,Mecânico,CX,71.32,2766,25,Metalúrgica ABC,2024-05-15,2025-04-17,Ativo,PRO-001,73181185,,Maria Santos
MAT-00834,Martelo Plástico,Ferramentas,KG,90.49,3043,39,Metalúrgica ABC,2024-03-21,2024-07-14,Inativo,PRO-001,,,Pedro Souza
MAT-00835,lâmpada Latão,Elétrico,M²,91.92,627,87,Comercial DEF,2025-11-28,2026-07-06,Ativo,MAN-001,39174580,A-17-04,Fernanda Rocha
MAT-00836,Prego em Aço,Fixação,M,67.3,726,195,Fornecedor VWX,2026-01-09,2026-07-16,Inativo,ADM-001,84841341,D-05-03,Ana Costa
MAT-00837,Resistor PVC,Eletrônico,L,3.82,343,,Metalúrgica ABC,2025-02-10,2025-08-31,Ativo,LOG-002,39174716,,Paula Lima
MAT-00838,Fluido Latão,Lubrificante,GL,222.58,2193,,,2026-02-06,2026-04-26,Ativo,ADM-001,73089856,A-09-03,Carlos Oliveira
MAT-00839,Bota Inox,EPI,PCT,1.96,525,214,,2024-10-26,2024-10-26,Ativo,PRO-001,,F-10-02,Pedro Souza
MAT-00840,Correia Aço,Mecânico,PCT,1.39,4328,230,Industrial GHI,2025-04-25,2025-05-05,Bloqueado,LOG-001,39174398,F-13-02,Paula Lima
MAT-00841,Spray Latão,Lubrificante,L,30.62,3023,,Fornecedor VWX,2025-02-06,2025-04-08,Ativo,,84841581,D-10-04,Pedro Souza
MAT-00842,Retentor Alumínio,Peças,GL,9.19,1850,384,Distribuidora XYZ,2025-05-02,2026-02-12,Ativo,MAN-001,73269842,B-15-05,João Silva
MAT-00843,Pasta Aço,Escritório,UN,2.98,1676,479,Industrial GHI,2024-03-21,2024-05-14,Ativo,ADM-001,73269825,A-13-02,Carlos Oliveira
