codigo_material,descricao,categoria,caminho,n_erros,n_alertas,erros,alertas
MAT-00864,Conexão Plástico,Hidráulico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00865,Martelo Aço,Ferramentas,REJEITADO,1,1,NCM vazio,Parado 406 dias
MAT-00866,Filtro Aço,Pneumático,CAMINHO_1,0,0,,
MAT-00867,Junta Plástico,Peças,CAMINHO_1,0,0,,
MAT-00868,Martelo PVC,Ferramentas,REJEITADO,1,1,NCM vazio,Parado 584 dias
MAT-00869,Módulo Latão,Eletrônico,CAMINHO_1,0,0,,
MAT-00870,Vedação Latão,Peças,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00871,Grampeador Alumínio,Escritório,CAMINHO_1,0,0,,
MAT-00872,Balde PVC,Limpeza,CAMINHO_1,0,0,,
MAT-00873,Pasta Alumínio,Escritório,CAMINHO_1,0,0,,
MAT-00874,Papelão Inox,Embalagem,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-00875,Retentor Plástico,Peças,CAMINHO_1,0,0,,
MAT-00876,Arruela Aço,Fixação,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 376 dias
MAT-00877,Filtro Plástico,Pneumático,CAMINHO_1,0,0,,
MAT-00878,Capacitor em PVC,Eletrônico,CAMINHO_2,0,1,,Parado 405 dias
MAT-00879,Serra Aço,Ferramentas,CAMINHO_1,0,0,,
MAT-00880,Arruela Cobre,Fixação,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-00881,Anel Plástico,Peças,REJEITADO,1,0,NCM vazio,
MAT-00882,Caixa Aço,Embalagem,CAMINHO_1,0,0,,
MAT-00883,Máscara Cobre,EPI,CAMINHO_1,0,0,,
MAT-00884,Retentor Plástico,Peças,REJEITADO,1,1,Preco zerado,Parado 495 dias
MAT-00885,Fluido PVC,Lubrificante,CAMINHO_2,0,1,,Parado 668 dias
MAT-00886,Martelo Cobre,Ferramentas,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00887,Filtro Alumínio,Pneumático,CAMINHO_1,0,0,,
MAT-00888,Lâmpada Cobre,Elétrico,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00889,Suporte Cobre,Acessórios,REJEITADO,1,2,NCM vazio,Preco alto: R$1502.76 (revisar); Parado 646 dias
MAT-00890,Pasta Alumínio,Lubrificante,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00891,Cabo 10mm² Alumínio,Elétrico,CAMINHO_1,0,0,,
MAT-00892,Fluido Cobre,Lubrificante,CAMINHO_1,0,0,,
MAT-00893,Caneta Alumínio,Escritório,CAMINHO_1,0,0,,
MAT-00894,Ácido Inox,Químico,CAMINHO_1,0,0,,
MAT-00895,Vassoura Aço,Limpeza,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00896,"Cabo 2,5mm² em Latão",Elétrico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00897,Capacitor Cobre,Eletrônico,REJEITADO,1,1,NCM vazio,Parado 692 dias
MAT-00898,Chave PVC,Ferramentas,REJEITADO,1,1,NCM vazio,Parado 476 dias
MAT-00899,Válvula Cobre,Hidráulico,CAMINHO_3,0,2,,Sem estoque minimo; Parado 494 dias
MAT-00900,Correia Cobre,Mecânico,CAMINHO_3,0,2,,Sem fornecedor; Preco alto: R$1746.79 (revisar)
MAT-00901,Cabo 16mm² Aço,Elétrico,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00902,"Tubo 3/4"" Cobre",Hidráulico,CAMINHO_1,0,0,,
MAT-00903,Lâmpada PVC,Elétrico,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00904,Rolamento Inox,Peças,REJEITADO,1,0,NCM vazio,
MAT-00905,Papelão Aço,Embalagem,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00906,Tomada Alumínio,Elétrico,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00907,Papelão PVC,Embalagem,CAMINHO_2,0,1,,Parado 548 dias
MAT-00908,Rolamento Aço,Mecânico,REJEITADO,1,0,NCM vazio,
MAT-00909,Rolamento Alumínio,Mecânico,CAMINHO_2,0,1,,Parado 533 dias
MAT-00910,Mangueira Cobre,Hidráulico,REJEITADO,1,0,NCM vazio,
MAT-00911,Desinfetante PVC,Limpeza,CAMINHO_3,0,2,,Sem fornecedor; Parado 415 dias
MAT-00912,Vedação Latão,Peças,REJEITADO,1,0,NCM vazio,
MAT-00913,Alicate Cobre,Ferramentas,CAMINHO_1,0,0,,
MAT-00914,Vedação Alumínio,Peças,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Parado 581 dias
MAT-00915,papelão Cobre,Embalagem,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Parado 518 dias
MAT-00916,Válvula Plástico,Hidráulico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00917,Etiqueta Plástico,Embalagem,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00918,Suporte Aço,Acessórios,CAMINHO_1,0,0,,
MAT-00919,Clipe Alumínio,Acessórios,CAMINHO_1,0,0,,
MAT-00920,Caixa Latão,Embalagem,CAMINHO_3,0,2,,Sem estoque minimo; Parado 687 dias
MAT-00921,Capacete Plástico,EPI,CAMINHO_3,0,2,,Sem fornecedor; Parado 415 dias
MAT-00922,Resistor Plástico,Eletrônico,CAMINHO_1,0,0,,
MAT-00923,Clips Plástico,Escritório,CAMINHO_1,0,0,,
MAT-00924,Tomada Aço,Elétrico,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Parado 579 dias
MAT-00925,Máscara Inox,EPI,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 718 dias
MAT-00926,Registro Latão,Hidráulico,CAMINHO_1,0,0,,
MAT-00927,Cabo 6mm² PVC,Elétrico,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00928,Caneta Cobre,Escritório,REJEITADO,1,0,Preco zerado,
MAT-00929,Luva GG Latão,EPI,REJEITADO,1,1,Preco zerado,Parado 457 dias
MAT-00930,Balde Alumínio,Limpeza,REJEITADO,1,1,NCM vazio,Parado 442 dias
MAT-00931,Óleo Aço,Lubrificante,CAMINHO_3,0,2,,Sem estoque minimo; Parado 373 dias
MAT-00932,Registro Latão,Hidráulico,REJEITADO,1,1,NCM vazio,Parado 556 dias
MAT-00933,Prego PVC,Fixação,CAMINHO_1,0,0,,
MAT-00934,Rebite PVC,Fixação,REJEITADO,1,0,NCM vazio,
MAT-00935,Correia Latão,Mecânico,CAMINHO_1,0,0,,
MAT-00936,"Tubo 1.1/4"" Cobre",Hidráulico,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00937,Parafuso M10 Inox,Fixação,REJEITADO,1,1,NCM vazio,Preco alto: R$1830.37 (revisar)
MAT-00938,Vassoura Plástico,Limpeza,REJEITADO,1,2,NCM vazio,Preco alto: R$1761.78 (revisar); Parado 395 dias
MAT-00939,Disjuntor Aço,Elétrico,REJEITADO,1,2,NCM vazio,Sem fornecedor; Sem estoque minimo
MAT-00940,Válvula PVC,Pneumático,CAMINHO_2,0,1,,Parado 455 dias
MAT-00941,Rolamento Aço,Peças,CAMINHO_2,0,1,,Sem fornecedor
MAT-00942,Caneta Plástico,Escritório,CAMINHO_3,0,2,,Sem estoque minimo; Parado 540 dias
MAT-00943,Vedação PVC,Peças,CAMINHO_2,0,1,,Sem fornecedor
MAT-00944,Reagente Plástico,Químico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00945,Reagente Alumínio,Químico,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00946,Fluido Alumínio,Lubrificante,CAMINHO_2,0,1,,Parado 436 dias
MAT-00947,"Tubo 2"" Latão",Hidráulico,REJEITADO,1,0,NCM vazio,
MAT-00948,Serra Plástico,Ferramentas,CAMINHO_3,0,2,,Sem estoque minimo; Parado 629 dias
MAT-00949,Cabo 16mm² Aço,Elétrico,CAMINHO_1,0,0,,
MAT-00950,Engrenagem Aço,Mecânico,CAMINHO_1,0,0,,
MAT-00951,Filtro PVC,Pneumático,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00952,Suporte Plástico,Acessórios,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Parado 704 dias
MAT-00953,Serra Latão,Ferramentas,REJEITADO,1,1,NCM vazio,Parado 385 dias
MAT-00954,Máscara Alumínio,EPI,REJEITADO,1,1,NCM vazio,Parado 391 dias
MAT-00955,LED Latão,Eletrônico,REJEITADO,1,0,NCM vazio,
MAT-00956,Engrenagem Aço,Mecânico,CAMINHO_1,0,0,,
MAT-00957,Ácido Plástico,Químico,CAMINHO_1,0,0,,
MAT-00958,Módulo Aço,Eletrônico,CAMINHO_2,0,1,,Parado 376 dias
MAT-00959,Interruptor Latão,Elétrico,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00960,Clipe PVC,Acessórios,REJEITADO,1,1,NCM vazio,Parado 532 dias
MAT-00961,Parafuso M10 Aço,Fixação,CAMINHO_1,0,0,,
MAT-00962,Rolamento Latão,Peças,CAMINHO_1,0,0,,
MAT-00963,Ácido Latão,Químico,CAMINHO_1,0,0,,
MAT-00964,Plástico Latão,Embalagem,CAMINHO_1,0,0,,
MAT-00965,Etiqueta Latão,Embalagem,CAMINHO_1,0,0,,
MAT-00966,Base Alumínio,Químico,REJEITADO,1,0,NCM vazio,
MAT-00967,Eixo Alumínio,Mecânico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00968,Pasta Cobre,Escritório,REJEITADO,1,1,NCM vazio,Parado 426 dias
MAT-00969,Caneta Inox,Escritório,CAMINHO_3,0,2,,Sem estoque minimo; Parado 385 dias
MAT-00970,Spray Latão,Lubrificante,CAMINHO_2,0,1,,Parado 518 dias
MAT-00971,Caixa Latão,Embalagem,CAMINHO_1,0,0,,
MAT-00972,Bucha Inox,Mecânico,CAMINHO_1,0,0,,
MAT-00973,Máscara Aço,EPI,CAMINHO_1,0,0,,
MAT-00974,Bucha Alumínio,Mecânico,CAMINHO_1,0,0,,
MAT-00975,Clips Latão,Escritório,CAMINHO_1,0,0,,
MAT-00976,Papelão PVC,Embalagem,REJEITADO,1,0,NCM vazio,
MAT-00977,Catalisador Aço,Químico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00978,Fita Alumínio,Embalagem,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00979,Conexão Aço,Pneumático,CAMINHO_1,0,0,,
MAT-00980,clipe Inox,Acessórios,REJEITADO,1,0,NCM vazio,
MAT-00981,Suporte Alumínio,Acessórios,CAMINHO_1,0,0,,
MAT-00982,Base Alumínio,Químico,REJEITADO,1,1,NCM vazio,Parado 607 dias
MAT-00983,Máscara Inox,EPI,CAMINHO_3,0,2,,Sem fornecedor; Parado 389 dias
MAT-00984,Balde Inox,Limpeza,REJEITADO,1,2,NCM vazio,Sem fornecedor; Preco alto: R$1896.48 (revisar)
MAT-00985,Módulo Cobre,Eletrônico,CAMINHO_2,0,1,,Parado 461 dias
MAT-00986,Rolamento Inox,Peças,CAMINHO_2,0,1,,Preco alto: R$1576.01 (revisar)
MAT-00987,Presilha Plástico,Acessórios,CAMINHO_2,0,1,,Parado 455 dias
MAT-00988,Retentor Cobre,Peças,REJEITADO,1,1,NCM vazio,Preco alto: R$1591.80 (revisar)
MAT-00989,rolamento Alumínio,Mecânico,REJEITADO,1,0,NCM vazio,
MAT-00990,Resistor PVC,Eletrônico,REJEITADO,1,0,NCM vazio,
MAT-00991,Disjuntor Inox,Elétrico,CAMINHO_3,0,2,,Preco alto: R$1775.92 (revisar); Parado 391 dias
MAT-00992,Válvula Aço,Pneumático,CAMINHO_2,0,1,,Parado 419 dias
MAT-00993,Clips Cobre,Escritório,CAMINHO_2,0,1,,Parado 421 dias
MAT-00994,Cilindro Latão,Pneumático,CAMINHO_2,0,1,,Preco alto: R$1685.46 (revisar)
MAT-00995,Pasta Alumínio,Lubrificante,CAMINHO_1,0,0,,
MAT-00996,Pasta Inox,Lubrificante,CAMINHO_1,0,0,,
MAT-00997,Pano Latão,Limpeza,CAMINHO_1,0,0,,
MAT-00998,Suporte Cobre,Acessórios,CAMINHO_1,0,0,,
MAT-00999,"Tubo 2"" Aço",Hidráulico,CAMINHO_2,0,1,,Sem fornecedor
MAT-01000,Tomada Latão,Elétrico,REJEITADO,1,0,NCM vazio,
MAT-01001,Graxa Inox,Lubrificante,CAMINHO_1,0,0,,
MAT-01002,Retentor em Aço,Peças,CAMINHO_1,0,0,,
MAT-01003,Papel em Plástico,Escritório,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01004,Pano Cobre,Limpeza,CAMINHO_1,0,0,,
MAT-01005,Abraçadeira Inox,Acessórios,CAMINHO_1,0,0,,
MAT-01006,Luva GG Plástico,EPI,CAMINHO_1,0,0,,
MAT-01007,Cabo 16mm² PVC,Elétrico,CAMINHO_1,0,0,,
MAT-01008,LED Inox,Eletrônico,CAMINHO_2,0,1,,Parado 366 dias
MAT-01009,Interruptor Aço,Elétrico,REJEITADO,1,0,NCM vazio,
MAT-01010,Rolamento Plástico,Peças,CAMINHO_2,0,1,,Sem fornecedor
MAT-01011,Caneta Alumínio,Escritório,CAMINHO_2,0,1,,Sem fornecedor
MAT-01012,Rolamento Aço,Mecânico,CAMINHO_1,0,0,,
MAT-01013,Parafuso Latão M8,Fixação,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 493 dias
MAT-01014,Etiqueta Cobre,Embalagem,CAMINHO_2,0,1,,Parado 492 dias
MAT-01015,Módulo Alumínio,Eletrônico,CAMINHO_3,0,2,,Sem fornecedor; Parado 512 dias
MAT-01016,Registro Cobre,Hidráulico,REJEITADO,1,0,NCM vazio,
MAT-01017,caixa Aço,Embalagem,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-01018,Base Latão,Químico,CAMINHO_1,0,0,,
MAT-01019,Interruptor Inox,Elétrico,CAMINHO_1,0,0,,
MAT-01020,Serra PVC,Ferramentas,CAMINHO_1,0,0,,
MAT-01021,Spray Alumínio,Lubrificante,CAMINHO_1,0,0,,
MAT-01022,Registro PVC,Hidráulico,CAMINHO_1,0,0,,
MAT-01023,Disjuntor Aço,Elétrico,CAMINHO_1,0,0,,
MAT-01024,"Tubo 1"" PVC",Hidráulico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01025,Retentor Cobre,Peças,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-01026,Mangueira Plástico,Pneumático,CAMINHO_3,0,3,,Sem estoque minimo; Preco alto: R$1875.64 (revisar); Parado 661 dias
MAT-01027,Mangueira PVC,Hidráulico,CAMINHO_1,0,0,,
MAT-01028,Rolamento Inox,Mecânico,CAMINHO_2,0,1,,Parado 601 dias
MAT-01029,Luva M Inox,EPI,REJEITADO,1,2,NCM vazio,Sem fornecedor; Sem estoque minimo
MAT-01030,Arruela Plástico,Fixação,CAMINHO_2,0,1,,Sem fornecedor
MAT-01031,Fita Latão,Embalagem,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Parado 440 dias
MAT-01032,Cabo 6mm² Inox,Elétrico,REJEITADO,1,0,NCM vazio,
MAT-01033,Grampeador Cobre,Escritório,CAMINHO_1,0,0,,
MAT-01034,Interruptor Cobre,Elétrico,REJEITADO,1,1,NCM vazio,Parado 622 dias
MAT-01035,Desinfetante Aço,Limpeza,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01036,Vedação Cobre,Peças,CAMINHO_3,0,2,,Sem estoque minimo; Parado 485 dias
MAT-01037,Registro Plástico,Hidráulico,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-01038,Válvula PVC,Hidráulico,CAMINHO_2,0,1,,Sem fornecedor
MAT-01039,Alicate Inox,Ferramentas,CAMINHO_2,0,1,,Parado 576 dias
MAT-01040,Capacitor PVC,Eletrônico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01041,Alicate Latão,Ferramentas,CAMINHO_1,0,0,,
MAT-01042,Rolamento PVC,Mecânico,CAMINHO_2,0,1,,Sem fornecedor
MAT-01043,Rolamento Inox,Peças,CAMINHO_2,0,1,,Sem fornecedor
MAT-01044,Rolamento Aço,Mecânico,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-01045,Grampeador Inox,Escritório,REJEITADO,1,1,NCM vazio,Parado 434 dias
MAT-01046,Martelo Cobre,Ferramentas,CAMINHO_3,0,2,,Sem fornecedor; Parado 630 dias
MAT-01047,Serra Plástico,Ferramentas,REJEITADO,1,0,NCM vazio,
MAT-01048,Correia Cobre,Mecânico,CAMINHO_1,0,0,,
MAT-01049,Luva XG PVC,EPI,CAMINHO_3,0,2,,Sem fornecedor; Parado 731 dias
MAT-01050,Anel Latão,Peças,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-01051,Fita Plástico,Embalagem,CAMINHO_1,0,0,,
MAT-01052,Caixa Alumínio,Embalagem,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01053,Vedação Inox,Peças,CAMINHO_2,0,1,,Parado 674 dias
MAT-01054,Sensor Inox,Eletrônico,REJEITADO,1,1,NCM vazio,Parado 566 dias
MAT-01055,Capacitor PVC,Eletrônico,CAMINHO_1,0,0,,
MAT-01056,Caneta Latão,Escritório,CAMINHO_1,0,0,,
MAT-01057,Mangueira Cobre,Pneumático,CAMINHO_3,0,2,,Sem estoque minimo; Parado 381 dias
MAT-01058,Bucha Latão,Mecânico,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 592 dias
MAT-01059,Cabo 10mm² Plástico,Elétrico,CAMINHO_2,0,1,,Parado 374 dias
MAT-01060,Etiqueta Alumínio,Embalagem,CAMINHO_1,0,0,,
MAT-01061,Grampeador Latão,Escritório,REJEITADO,1,0,NCM vazio,
MAT-01062,Bucha Aço,Mecânico,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 464 dias
MAT-01063,Mangueira PVC,Pneumático,CAMINHO_1,0,0,,
MAT-01064,Vassoura Latão,Limpeza,CAMINHO_3,0,3,,Sem fornecedor; Sem estoque minimo; Parado 448 dias
MAT-01065,Plástico Alumínio,Embalagem,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01066,Ácido Aço,Químico,CAMINHO_1,0,0,,
MAT-01067,Fluido Cobre,Lubrificante,CAMINHO_1,0,0,,
MAT-01068,Alicate Plástico,Ferramentas,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 519 dias
MAT-01069,pasta Latão,Escritório,REJEITADO,1,2,NCM vazio,Sem fornecedor; Sem estoque minimo
MAT-01070,Registro Alumínio,Hidráulico,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-01071,Óleo PVC,Lubrificante,CAMINHO_1,0,0,,
MAT-01072,Anel PVC,Peças,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 512 dias
MAT-01073,Furadeira Cobre,Ferramentas,CAMINHO_3,0,2,,Sem estoque minimo; Parado 476 dias
MAT-01074,Solvente Aço,Químico,CAMINHO_1,0,0,,
MAT-01075,Pasta PVC,Escritório,REJEITADO,1,0,NCM vazio,
MAT-01076,Módulo PVC,Eletrônico,CAMINHO_2,0,1,,Parado 413 dias
MAT-01077,Capacete Cobre,EPI,CAMINHO_3,0,2,,Sem estoque minimo; Parado 423 dias
MAT-01078,Luva M Inox,EPI,REJEITADO,1,0,NCM vazio,
MAT-01079,Detergente Cobre,Limpeza,CAMINHO_1,0,0,,
MAT-01080,Óleo Latão,Lubrificante,CAMINHO_2,0,1,,Sem fornecedor
MAT-01081,mangueira PVC,Pneumático,CAMINHO_1,0,0,,
MAT-01082,"Tubo 2"" PVC",Hidráulico,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-01083,Base Alumínio,Químico,REJEITADO,1,0,NCM vazio,
MAT-01084,Óleo Plástico,Lubrificante,CAMINHO_1,0,0,,
MAT-01085,Pasta Plástico,Lubrificante,CAMINHO_2,0,1,,Parado 546 dias
MAT-01086,LED Plástico,Eletrônico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01087,Cabo 6mm² PVC,Elétrico,REJEITADO,1,1,NCM vazio,Preco alto: R$1534.46 (revisar)
MAT-01088,Desinfetante Alumínio,Limpeza,CAMINHO_1,0,0,,
MAT-01089,Fita Aço,Embalagem,CAMINHO_2,0,1,,Sem fornecedor
MAT-01090,Mangueira Plástico,Hidráulico,CAMINHO_2,0,1,,Parado 396 dias
MAT-01091,Pano Inox,Limpeza,CAMINHO_1,0,0,,
MAT-01092,Base Plástico,Químico,REJEITADO,2,1,NCM vazio; Preco zerado,Parado 624 dias
MAT-01093,Rebite Cobre,Fixação,CAMINHO_2,0,1,,Parado 641 dias
MAT-01094,Cabo 6mm² Plástico,Elétrico,CAMINHO_1,0,0,,
MAT-01095,Ácido Aço,Químico,CAMINHO_1,0,0,,
MAT-01096,Registro em Alumínio,Hidráulico,REJEITADO,1,0,NCM vazio,
MAT-01097,Pasta Inox,Lubrificante,CAMINHO_1,0,0,,
MAT-01098,Vedação Cobre,Peças,CAMINHO_3,0,2,,Sem estoque minimo; Parado 499 dias
MAT-01099,válvula PVC,Pneumático,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-01100,Conexão Plástico,Hidráulico,CAMINHO_2,0,1,,Parado 695 dias
MAT-01101,Vedação Alumínio,Peças,CAMINHO_2,0,1,,Parado 484 dias
MAT-01102,Filtro Plástico,Pneumático,CAMINHO_1,0,0,,
MAT-01103,Retentor Aço,Peças,CAMINHO_2,0,1,,Parado 658 dias
MAT-01104,Vedação Inox,Peças,CAMINHO_1,0,0,,
MAT-01105,Martelo Cobre,Ferramentas,CAMINHO_2,0,1,,Sem fornecedor
MAT-01106,Etiqueta Aço,Embalagem,CAMINHO_2,0,1,,Sem fornecedor
MAT-01107,Caneta Plástico,Escritório,CAMINHO_2,0,1,,Parado 408 dias
MAT-01108,Rolamento em Aço,Mecânico,CAMINHO_2,0,1,,Sem fornecedor
MAT-01109,Capacitor Latão,Eletrônico,CAMINHO_2,0,1,,Parado 518 dias
MAT-01110,Balde PVC,Limpeza,CAMINHO_3,0,2,,Sem estoque minimo; Parado 626 dias
MAT-01111,Abraçadeira Alumínio,Acessórios,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-01112,Correia Inox,Mecânico,CAMINHO_1,0,0,,
MAT-01113,Spray PVC,Lubrificante,CAMINHO_2,0,1,,Parado 651 dias
MAT-01114,Disjuntor Alumínio,Elétrico,CAMINHO_3,0,3,,Sem fornecedor; Preco alto: R$1770.06 (revisar); Parado 442 dias
MAT-01115,Rebite Plástico,Fixação,CAMINHO_1,0,0,,
MAT-01116,Chave PVC,Ferramentas,REJEITADO,1,1,NCM vazio,Parado 528 dias
MAT-01117,Cabo 4mm² Cobre,Elétrico,CAMINHO_1,0,0,,
MAT-01118,Junta Alumínio,Peças,CAMINHO_2,0,1,,Parado 563 dias
MAT-01119,Bota PVC,EPI,CAMINHO_3,0,2,,Sem fornecedor; Parado 444 dias
MAT-01120,Tomada Alumínio,Elétrico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01121,bota Inox,EPI,REJEITADO,1,1,Preco zerado,Sem fornecedor
MAT-01122,Engrenagem Latão,Mecânico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01123,Furadeira Aço,Ferramentas,CAMINHO_2,0,1,,Parado 554 dias
MAT-01124,Balde Latão,Limpeza,CAMINHO_3,0,3,,Sem estoque minimo; Preco alto: R$1634.42 (revisar); Parado 462 dias
MAT-01125,Rebite Inox,Fixação,REJEITADO,1,0,NCM vazio,
MAT-01126,Papel Inox,Escritório,CAMINHO_1,0,0,,
MAT-01127,Reagente Aço,Químico,CAMINHO_1,0,0,,
MAT-01128,Etiqueta Inox,Embalagem,REJEITADO,1,1,NCM vazio,Preco alto: R$1768.78 (revisar)
MAT-01129,Caixa Aço,Embalagem,CAMINHO_2,0,1,,Parado 475 dias
MAT-01130,Vedação Plástico,Peças,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01131,abraçadeira Plástico,Acessórios,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-01132,Mangueira Alumínio,Pneumático,CAMINHO_2,0,1,,Parado 482 dias
MAT-01133,Pasta Cobre,Lubrificante,CAMINHO_2,0,1,,Parado 568 dias
MAT-01134,Pasta Alumínio,Lubrificante,CAMINHO_2,0,1,,Sem fornecedor
MAT-01135,Pasta em Alumínio,Lubrificante,REJEITADO,1,3,NCM vazio,Sem fornecedor; Preco alto: R$1722.76 (revisar); Parado 581 dias
MAT-01136,Pasta Inox,Lubrificante,CAMINHO_1,0,0,,
MAT-01137,Mangueira PVC,Hidráulico,CAMINHO_1,0,0,,
MAT-01138,Sensor Cobre,Eletrônico,CAMINHO_1,0,0,,
MAT-01139,Fita PVC,Embalagem,CAMINHO_1,0,0,,
MAT-01140,Suporte Latão,Acessórios,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 619 dias
MAT-01141,Etiqueta Plástico,Embalagem,REJEITADO,1,0,NCM vazio,
MAT-01142,Plástico PVC,Embalagem,CAMINHO_2,0,1,,Parado 511 dias
MAT-01143,Ácido Cobre,Químico,CAMINHO_1,0,0,,
MAT-01144,Alicate Latão,Ferramentas,CAMINHO_1,0,0,,
MAT-01145,Martelo Cobre,Ferramentas,REJEITADO,1,0,NCM vazio,
MAT-01146,Válvula Inox,Pneumático,REJEITADO,1,2,NCM vazio,Preco alto: R$1841.96 (revisar); Parado 577 dias
MAT-01147,Vassoura Latão,Limpeza,REJEITADO,1,3,NCM vazio,Sem fornecedor; Sem estoque minimo; Preco alto: R$1773.86 (revisar)
MAT-01148,Cabo 10mm² Latão,Elétrico,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Parado 413 dias
MAT-01149,Módulo Plástico,Eletrônico,CAMINHO_1,0,0,,
MAT-01150,Clips Latão,Escritório,CAMINHO_2,0,1,,Preco alto: R$1566.13 (revisar)
MAT-01151,Tomada Inox,Elétrico,CAMINHO_1,0,0,,
MAT-01152,Resistor Inox,Eletrônico,CAMINHO_3,0,2,,Sem fornecedor; Parado 637 dias
MAT-01153,Parafuso M16 PVC,Fixação,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 484 dias
MAT-01154,Porca M12 Inox,Fixação,CAMINHO_1,0,0,,
MAT-01155,resistor Alumínio,Eletrônico,REJEITADO,1,1,NCM vazio,Parado 442 dias
MAT-01156,correia Cobre,Mecânico,CAMINHO_1,0,0,,
MAT-01157,Capacitor Latão,Eletrônico,CAMINHO_2,0,1,,Parado 712 dias
MAT-01158,Pano Cobre,Limpeza,CAMINHO_2,0,1,,Sem estoque minimo
MAT-01159,Papelão Plástico,Embalagem,REJEITADO,1,0,NCM vazio,
MAT-01160,Filtro PVC,Pneumático,CAMINHO_1,0,0,,
MAT-01161,Etiqueta Latão,Embalagem,CAMINHO_1,0,0,,
MAT-01162,Óculos Cobre,EPI,CAMINHO_2,0,1,,Preco alto: R$1777.55 (revisar)
MAT-01163,Serra Alumínio,Ferramentas,CAMINHO_2,0,1,,Sem fornecedor
MAT-01164,Correia Aço,Mecânico,REJEITADO,1,0,Preco zerado,
MAT-01165,Tomada Latão,Elétrico,REJEITADO,1,0,NCM vazio,
MAT-01166,Eixo Latão,Mecânico,CAMINHO_1,0,0,,
MAT-01167,Eixo Latão,Mecânico,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-01168,Engrenagem Latão,Mecânico,REJEITADO,1,0,NCM vazio,
MAT-01169,Pano Plástico,Limpeza,CAMINHO_1,0,0,,
MAT-01170,Bota PVC,EPI,REJEITADO,1,0,NCM vazio,
