codigo_material,descricao,categoria,estoque_sistema,estoque_fisico,divergencia_qtd,divergencia_perc,divergencia_valor,score_acuracidade,classe_acuracidade,valor_estoque,valor_estoque_fisico
MAT-01755,Balde PVC,Limpeza,846,823,-23,-2.72,-105.57,97.28,B,3883.14,3777.5699999999997
MAT-02914,Graxa Cobre,Lubrificante,406,395,-11,-2.71,-0.0,97.29,B,0.0,0.0
MAT-06001,REGISTRO INOX,Hidráulico,4093,3982,-111,-2.71,-711.422093150389,97.29,B,26232.888533914793,25521.466440764405
MAT-02988,Caixa Inox,Embalagem,3578,3675,97,2.71,63.050000000000004,97.29,B,2325.7000000000003,2388.75
MAT-01836,Graxa Plástico,Lubrificante,2837,2760,-77,-2.71,-108176.53000000001,97.29,B,3985672.93,3877496.4000000004
MAT-02644,Anel Alumínio,Peças,2212,2152,-60,-2.71,-146.4,97.29,B,5397.28,5250.88
MAT-06001,Óleo Inox,Lubrificante,4863,4731,-132,-2.71,-207456.43752290567,97.29,B,7642883.75510523,7435427.317582324
MAT-01997,Fluido em Alumínio,Lubrificante,4944,4810,-134,-2.71,-881.72,97.29,B,32531.52,31649.8
MAT-01505,Correia Latão,Mecânico,3323,3233,-90,-2.71,-325.8,97.29,B,12029.26,11703.460000000001
MAT-00887,Filtro Alumínio,Pneumático,4019,4128,109,2.71,1084.55,97.29,B,39989.049999999996,41073.6
MAT-06001,Abraçadeira PVC,Acessórios,3619,3717,98,2.71,170207.412905047,97.29,B,6285516.605136379,6455724.018041425
MAT-02446,Tomada Cobre,Elétrico,3078,2995,-83,-2.7,-4477.0199999999995,97.3,B,166027.32,161550.3
MAT-01414,junta PVC,Peças,37,36,-1,-2.7,-5.28,97.3,B,195.36,190.08
MAT-02730,Rolamento Alumínio,Mecânico,3223,3310,87,2.7,718.62,97.3,B,26621.98,27340.6
MAT-01012,Rolamento Aço,Mecânico,4665,4539,-126,-2.7,-4340.700000000001,97.3,B,160709.25,156368.55000000002
MAT-02163,Mangueira Aço,Hidráulico,3000,3081,81,2.7,3042.36,97.3,B,112680.0,115722.36
MAT-00351,Bucha Aço,Mecânico,2774,2699,-75,-2.7,-146466.75,97.3,B,5417316.86,5270850.11
MAT-06001,Conexão Cobre,Hidráulico,4561,4438,-123,-2.7,-108.8926713086892,97.3,B,4037.881901129524,3928.9892298208347
MAT-01327,Ácido Alumínio,Químico,4786,4657,-129,-2.7,-797.2199999999999,97.3,B,29577.48,28780.26
MAT-00124,Solvente Plástico,Químico,781,802,21,2.69,180.39,97.31,B,6708.79,6889.18
MAT-00811,Rolamento Alumínio,Peças,186,181,-5,-2.69,-184.89999999999998,97.31,B,6878.28,6693.379999999999
MAT-01744,Óleo Plástico,Lubrificante,3269,3181,-88,-2.69,-217.36,97.31,B,8074.43,7857.070000000001
MAT-01252,Rolamento Cobre,Peças,891,915,24,2.69,29471.760000000002,97.31,B,1094139.09,1123610.85
MAT-01770,Clipe Inox,Acessórios,1117,1087,-30,-2.69,-2384.7,97.31,B,88790.32999999999,86405.62999999999
MAT-02843,Grampeador PVC,Escritório,633,650,17,2.69,99.96,97.31,B,3722.04,3822.0
MAT-00540,Mangueira em Plástico,Pneumático,3723,3823,100,2.69,399.0,97.31,B,14854.77,15253.77
MAT-06001,Clipe Latão,Acessórios,2682,2610,-72,-2.68,-5583.127152130395,97.32,B,207971.4864168572,202388.3592647268
MAT-02793,LED Inox,Eletrônico,3284,3196,-88,-2.68,-1576.96,97.32,B,58849.280000000006,57272.32000000001
MAT-02168,Gancho PVC,Acessórios,3204,3118,-86,-2.68,-7101.88,97.32,B,264586.32,257484.44
MAT-00819,Capacete em Plástico,EPI,112,109,-3,-2.68,-77.82000000000001,97.32,B,2905.28,2827.46
MAT-00121,Rolamento Latão,Peças,1791,1839,48,2.68,18574.079999999998,97.32,B,693045.36,711619.44
MAT-02981,Bota Cobre,EPI,2572,2641,69,2.68,42047.22,97.32,B,1567325.36,1609372.58
MAT-02632,Cilindro Latão,Pneumático,4191,4079,-112,-2.67,-39849.6,97.33,B,1491157.8,1451308.2
MAT-02671,LED PVC,Eletrônico,1761,1808,47,2.67,262.26,97.33,B,9826.380000000001,10088.64
MAT-02786,Plástico Cobre,Embalagem,1460,1421,-39,-2.67,-289.38,97.33,B,10833.2,10543.82
MAT-00395,Suporte Cobre,Acessórios,4535,4656,121,2.67,514.25,97.33,B,19273.75,19788.0
MAT-00818,Caneta Inox,Escritório,1988,1935,-53,-2.67,-455.79999999999995,97.33,B,17096.8,16641.0
MAT-01277,Anel Inox,Peças,225,231,6,2.67,135.54,97.33,B,5082.75,5218.29
MAT-01521,Interruptor em PVC,Elétrico,450,462,12,2.67,55.67999999999999,97.33,B,2088.0,2143.68
MAT-01925,arruela Aço,Fixação,636,619,-17,-2.67,-81.6,97.33,B,3052.7999999999997,2971.2
MAT-02107,Pasta em Aço,Escritório,4536,4415,-121,-2.67,-53.24,97.33,B,1995.84,1942.6
MAT-00800,Registro Plástico,Hidráulico,75,77,2,2.67,8.48,97.33,B,318.0,326.48
MAT-06001,Abraçadeira Plástico,Acessórios,4668,4792,124,2.66,237872.23406863268,97.34,B,8954738.618003042,9192610.852071676
MAT-01436,Etiqueta Inox,Embalagem,1805,1853,48,2.66,50.88,97.34,B,1913.3000000000002,1964.18
MAT-01617,Cilindro Plástico,Pneumático,2819,2744,-75,-2.66,-608.25,97.34,B,22862.09,22253.84
MAT-01256,Resistor Cobre,Eletrônico,2928,3006,78,2.66,7133.879999999999,97.34,B,267794.88,274928.76
MAT-01339,interruptor Cobre,Elétrico,2705,2633,-72,-2.66,-1000.8000000000001,97.34,B,37599.5,36598.700000000004
MAT-02668,Cilindro Plástico,Pneumático,2627,2697,70,2.66,691.6,97.34,B,25954.760000000002,26646.36
MAT-02857,Válvula Latão,Hidráulico,3941,4046,105,2.66,1006.9499999999999,97.34,B,37794.19,38801.14
MAT-01154,Porca M12 Inox,Fixação,3044,2963,-81,-2.66,-3062.61,97.34,B,115093.64000000001,112031.03000000001
MAT-02134,Spray Alumínio,Lubrificante,901,877,-24,-2.66,-692.4000000000001,97.34,B,25993.850000000002,25301.45
MAT-06001,FITA ALUMÍNIO,Embalagem,2745,2818,73,2.66,209.61432913657316,97.34,B,7882.073061368401,8091.687390504974
MAT-01380,porca M16 Cobre,Fixação,2783,2709,-74,-2.66,-5949.6,97.34,B,223753.2,217803.6
MAT-02228,Presilha Cobre,Acessórios,4742,4616,-126,-2.66,-782.46,97.34,B,29447.82,28665.36
MAT-02011,Grampeador PVC,Escritório,867,844,-23,-2.65,-38540.87,97.35,B,1452823.23,1414282.36
MAT-06001,Solvente Alumínio,Químico,113,116,3,2.65,171.39708098711756,97.35,B,6455.956717181428,6627.353798168546
MAT-02043,Resistor em Plástico,Eletrônico,1281,1247,-34,-2.65,-6.12,97.35,B,230.57999999999998,224.45999999999998
MAT-00612,Sensor PVC,Eletrônico,1773,1820,47,2.65,18311.2,97.35,B,690760.8,709072.0
MAT-02610,Rolamento Aço,Peças,2714,2642,-72,-2.65,-1609.92,97.35,B,60685.04,59075.119999999995
MAT-00970,Spray Latão,Lubrificante,415,404,-11,-2.65,-9829.49,97.35,B,370839.85000000003,361010.36
MAT-02544,Reagente Cobre,Químico,3589,3494,-95,-2.65,-5978.35,97.35,B,225855.77,219877.42
MAT-01661,Capacete Plástico,EPI,378,368,-10,-2.65,-72.1,97.35,B,2725.38,2653.28
MAT-00435,Eixo Aço,Mecânico,3698,3796,98,2.65,3880.8,97.35,B,146440.80000000002,150321.6
MAT-00856,Pasta Alumínio,Lubrificante,4570,4449,-121,-2.65,-8829.369999999999,97.35,B,333472.9,324643.52999999997
MAT-01166,Eixo Latão,Mecânico,3202,3117,-85,-2.65,-741.2,97.35,B,27921.440000000002,27180.24
MAT-02131,Desinfetante Latão,Limpeza,2038,2092,54,2.65,66206.7,97.35,B,2498689.9,2564896.6
MAT-00268,Rolamento PVC,Peças,2718,2790,72,2.65,3773.5199999999995,97.35,B,142450.38,146223.9
MAT-02064,Prego Cobre,Fixação,2788,2862,74,2.65,137.64000000000001,97.35,B,5185.68,5323.320000000001
MAT-00594,Clipe Latão,Acessórios,1664,1620,-44,-2.64,-15.84,97.36,B,599.04,583.1999999999999
MAT-02126,Correia Plástico,Mecânico,4050,3943,-107,-2.64,-340.26,97.36,B,12879.0,12538.74
MAT-00988,Retentor Cobre,Peças,2159,2216,57,2.64,90732.59999999999,97.36,B,3436696.1999999997,3527428.8
MAT-01540,Engrenagem Inox,Mecânico,2308,2369,61,2.64,495.31999999999994,97.36,B,18740.96,19236.28
MAT-01226,ácido Plástico,Químico,568,583,15,2.64,1081.2,97.36,B,40941.44,42022.64
MAT-00078,Grampeador Plástico,Escritório,1327,1292,-35,-2.64,-148.4,97.36,B,5626.4800000000005,5478.08
MAT-01896,"tubo 2"" Cobre",Hidráulico,2970,2892,-78,-2.63,-446.15999999999997,97.37,B,16988.399999999998,16542.239999999998
MAT-01902,Módulo PVC,Eletrônico,342,351,9,2.63,423.63,97.37,B,16097.94,16521.57
MAT-01027,Mangueira PVC,Hidráulico,2467,2532,65,2.63,1280.5,97.37,B,48599.9,49880.4
MAT-02593,Prego Cobre,Fixação,3614,3709,95,2.63,97.85000000000001,97.37,B,3722.42,3820.27
MAT-01651,Registro Latão,Hidráulico,266,273,7,2.63,37.59,97.37,B,1428.42,1466.01
MAT-00863,Graxa Alumínio,Lubrificante,4031,3925,-106,-2.63,-792.88,97.37,B,30151.88,29359.0
MAT-00108,Grampeador PVC,Escritório,2547,2480,-67,-2.63,-595.63,97.37,B,22642.83,22047.2
MAT-00823,Furadeira Alumínio,Ferramentas,2923,3000,77,2.63,6714.400000000001,97.37,B,254885.6,261600.0
MAT-01179,Prego Plástico,Fixação,3627,3532,-95,-2.62,-386.65000000000003,97.38,B,14761.890000000001,14375.240000000002
MAT-06001,Prego Latão,Fixação,4656,4778,122,2.62,11309.731643143516,97.38,B,431623.8568071821,442933.5884503256
MAT-00430,Capacete em Alumínio,EPI,3010,2931,-79,-2.62,-3865.47,97.38,B,147279.3,143413.83
MAT-01901,Vedação Latão,Peças,1644,1687,43,2.62,2019.71,97.38,B,77218.68,79238.39
MAT-01402,Suporte Latão,Acessórios,305,313,8,2.62,32.96,97.38,B,1256.6000000000001,1289.56
MAT-01093,Rebite Cobre,Fixação,1181,1212,31,2.62,286.44,97.38,B,10912.44,11198.880000000001
MAT-02717,Módulo Cobre,Eletrônico,1754,1708,-46,-2.62,-3920.5800000000004,97.38,B,149493.42,145572.84
MAT-01275,Interruptor Latão,Elétrico,2674,2604,-70,-2.62,-20.299999999999997,97.38,B,775.4599999999999,755.16
MAT-01935,Vassoura Cobre,Limpeza,2451,2387,-64,-2.61,-343.04,97.39,B,13137.36,12794.320000000002
MAT-00965,Etiqueta Latão,Embalagem,3446,3356,-90,-2.61,-8339.4,97.39,B,319306.36,310966.95999999996
MAT-06001,Registro Alumínio,Hidráulico,2946,3023,77,2.61,505.09788386101144,97.39,B,19324.91384226675,19830.01172612776
MAT-06001,MANGUEIRA PLÁSTICO,Hidráulico,2187,2244,57,2.61,300.3323851380618,97.39,B,11523.279408718266,11823.61179385633
MAT-01570,Fluido PVC,Lubrificante,3679,3583,-96,-2.61,-21283.199999999997,97.39,B,815634.2999999999,794351.1
MAT-00942,Caneta Plástico,Escritório,3108,3189,81,2.61,453.59999999999997,97.39,B,17404.8,17858.399999999998
MAT-00848,Registro Plástico,Hidráulico,3336,3249,-87,-2.61,-660.33,97.39,B,25320.239999999998,24659.91
MAT-00486,Arruela Inox,Fixação,1492,1531,39,2.61,1893.4499999999998,97.39,B,72436.59999999999,74330.05
MAT-01086,LED Plástico,Eletrônico,306,298,-8,-2.61,-77.12,97.39,B,2949.84,2872.7200000000003
MAT-01140,Suporte Latão,Acessórios,1914,1864,-50,-2.61,-297.5,97.39,B,11388.300000000001,11090.800000000001
MAT-06001,CAPACITOR AÇO,Eletrônico,1495,1456,-39,-2.61,-264.3287042492313,97.39,B,10132.600329553867,9868.271625304636
MAT-00923,Clips Plástico,Escritório,4479,4362,-117,-2.61,-448.11,97.39,B,17154.57,16706.46
MAT-00899,Válvula Cobre,Hidráulico,1608,1566,-42,-2.61,-53043.9,97.39,B,2030823.6,1977779.7000000002
MAT-02473,Correia Latão,Mecânico,1693,1737,44,2.6,3956.48,97.4,B,152234.56,156191.04
MAT-01643,Luva M Cobre,EPI,1694,1650,-44,-2.6,-321.2,97.4,B,12366.199999999999,12045.0
MAT-00708,Pasta Latão,Lubrificante,4079,4185,106,2.6,592.54,97.4,B,22801.61,23394.149999999998
MAT-01943,Rebite Inox,Fixação,3466,3556,90,2.6,7735.5,97.4,B,297902.7,305638.2
MAT-00999,"Tubo 2"" Aço",Hidráulico,2918,2842,-76,-2.6,-4390.52,97.4,B,168572.86000000002,164182.34
MAT-01927,Papelão Plástico,Embalagem,2195,2252,57,2.6,196.65,97.4,B,7572.75,7769.400000000001
MAT-02881,Papelão Latão,Embalagem,385,395,10,2.6,21.8,97.4,B,839.3000000000001,861.1
MAT-02123,Óleo Inox,Lubrificante,4889,5016,127,2.6,621.03,97.4,B,23907.21,24528.239999999998
MAT-02161,Fita Aço,Embalagem,4537,4655,118,2.6,11230.06,97.4,B,431786.29,443016.35000000003
MAT-01654,Correia Plástico,Mecânico,2726,2655,-71,-2.6,-22.72,97.4,B,872.32,849.6
MAT-00185,Conexão Plástico,Pneumático,4379,4265,-114,-2.6,-8458.800000000001,97.4,B,324921.8,316463.0
MAT-02984,Óleo Alumínio,Lubrificante,768,748,-20,-2.6,-21316.0,97.4,B,818534.3999999999,797218.4
MAT-01648,Parafuso M10 Cobre,Fixação,538,524,-14,-2.6,-81.75999999999999,97.4,B,3141.92,3060.16
MAT-06001,"Tubo 1.1/4"" Aço",Hidráulico,3396,3484,88,2.59,184.70740095294863,97.41,B,7128.026518593336,7312.733919546285
MAT-06001,PLÁSTICO PVC,Embalagem,4018,3914,-104,-2.59,-642.7890408969525,97.41,B,24833.90736849957,24191.11832760262
MAT-01475,Retentor Inox,Peças,3400,3488,88,2.59,174606.08000000002,97.41,B,6746144.0,6920750.08
MAT-06001,PARAFUSO M12 AÇO,Fixação,1775,1821,46,2.59,0.0,97.41,B,0.0,0.0
MAT-00978,Fita Alumínio,Embalagem,3739,3836,97,2.59,330.77000000000004,97.41,B,12749.99,13080.76
MAT-01201,Catalisador Cobre,Químico,1584,1543,-41,-2.59,-213.20000000000002,97.41,B,8236.800000000001,8023.6
MAT-00710,Anel PVC,Peças,2390,2452,62,2.59,1474.3600000000001,97.41,B,56834.200000000004,58308.560000000005
MAT-00223,Lâmpada Cobre,Elétrico,928,952,24,2.59,953.28,97.41,B,36860.159999999996,37813.44
MAT-00933,Prego PVC,Fixação,1465,1503,38,2.59,222.29999999999998,97.41,B,8570.25,8792.55
MAT-01384,Grampeador Cobre,Escritório,1966,1915,-51,-2.59,-370.26,97.41,B,14273.16,13902.9
MAT-06001,CORREIA PVC,Mecânico,3177,3259,82,2.58,4752.051159940069,97.42,B,184113.00652597073,188865.0576859108
MAT-02972,Correia Plástico,Mecânico,3023,3101,78,2.58,629.46,97.42,B,24395.61,25025.07
MAT-02351,Porca M16 Inox,Fixação,3565,3473,-92,-2.58,-545.56,97.42,B,21140.45,20594.89
MAT-02408,Parafuso Cobre M8,Fixação,3296,3381,85,2.58,45.900000000000006,97.42,B,1779.8400000000001,1825.74
MAT-01171,Retentor PVC,Peças,4582,4464,-118,-2.58,-171.1,97.42,B,6643.9,6472.8
MAT-02570,Fluido Latão,Lubrificante,3490,3580,90,2.58,5607.0,97.42,B,217427.0,223034.0
MAT-02958,Válvula PVC,Hidráulico,1165,1135,-30,-2.58,-29.4,97.42,B,1141.7,1112.3
MAT-06001,"TUBO 3/4"" PLÁSTICO",Hidráulico,4335,4223,-112,-2.58,-926.2563315833399,97.42,B,35851.08211976588,34924.82578818254
MAT-06001,Filtro PVC,Pneumático,2399,2461,62,2.58,377.79249856547443,97.42,B,14618.132323525373,14995.924822090847
MAT-00747,Detergente Latão,Limpeza,2485,2421,-64,-2.58,-595.84,97.42,B,23135.350000000002,22539.510000000002
MAT-00696,Retentor Aço,Peças,581,566,-15,-2.58,-116.55,97.42,B,4514.37,4397.82
MAT-01720,Porca M10 Aço,Fixação,3738,3834,96,2.57,3164.16,97.43,B,123204.48,126368.64
MAT-06001,vedação Inox,Peças,2336,2276,-60,-2.57,-40.16576500141901,97.43,B,1563.78711738858,1523.621352387161
MAT-02764,Papelão Inox,Embalagem,1362,1327,-35,-2.57,-161.70000000000002,97.43,B,6292.4400000000005,6130.74
MAT-02257,Retentor Aço,Peças,1011,985,-26,-2.57,-190.06,97.43,B,7390.41,7200.349999999999
MAT-01370,Luva P PVC,EPI,1515,1476,-39,-2.57,-1595.4899999999998,97.43,B,61978.649999999994,60383.159999999996
MAT-01993,Correia Alumínio,Mecânico,2530,2595,65,2.57,2687.1000000000004,97.43,B,104590.20000000001,107277.3
MAT-00249,Filtro Latão,Pneumático,2372,2311,-61,-2.57,-116.50999999999999,97.43,B,4530.5199999999995,4414.01
MAT-02367,Anel Plástico,Peças,2692,2761,69,2.56,0.0,97.44,B,0.0,0.0
MAT-01863,Graxa Inox,Lubrificante,4227,4335,108,2.56,980.64,97.44,B,38381.16,39361.8
MAT-00039,Spray Aço,Lubrificante,4883,4758,-125,-2.56,-527.5,97.44,B,20606.26,20078.76
MAT-01678,Ácido Aço,Químico,1288,1255,-33,-2.56,-154.77,97.44,B,6040.72,5885.950000000001
MAT-02994,Conexão Cobre,Hidráulico,1173,1203,30,2.56,187.79999999999998,97.44,B,7342.98,7530.78
MAT-01649,Filtro Cobre,Pneumático,1993,1942,-51,-2.56,-334.05,97.44,B,13054.15,12720.1
MAT-00422,Pano PVC,Limpeza,469,481,12,2.56,81.84,97.44,B,3198.58,3280.42
MAT-00760,correia Latão,Mecânico,1446,1483,37,2.56,1659.82,97.44,B,64867.56,66527.38
MAT-06001,Chave PVC,Ferramentas,1992,2043,51,2.56,2915.184819940443,97.44,B,113863.68943767376,116778.87425761421
MAT-02978,Spray Inox,Lubrificante,1412,1376,-36,-2.55,-20.160000000000004,97.45,B,790.72,770.5600000000001
MAT-06001,Caixa Plástico,Embalagem,1177,1147,-30,-2.55,-251.9899166790432,97.45,B,9886.404397707794,9634.41448102875
MAT-01285,Módulo Aço,Eletrônico,4072,4176,104,2.55,58780.8,97.45,B,2301494.4000000004,2360275.2
MAT-00156,óleo Plástico,Lubrificante,707,689,-18,-2.55,-57.24,97.45,B,2248.26,2191.02
MAT-00055,Vedação Latão,Peças,943,919,-24,-2.55,-82.80000000000001,97.45,B,3253.3500000000004,3170.55
MAT-00358,Resistor Latão,Eletrônico,2781,2852,71,2.55,3922.75,97.45,B,153650.25,157573.0
MAT-00225,Anel Inox,Peças,1489,1451,-38,-2.55,-312.36,97.45,B,12239.580000000002,11927.220000000001
MAT-06001,ROLAMENTO INOX,Peças,274,267,-7,-2.55,-2752.7665478676763,97.45,B,107751.14773082048,104998.3811829528
MAT-01576,Chave PVC,Ferramentas,1332,1298,-34,-2.55,-2476.22,97.45,B,97009.56,94533.34
MAT-00552,Anel PVC,Peças,3528,3618,90,2.55,629.1,97.45,B,24660.72,25289.82
MAT-01928,Sensor Latão,Eletrônico,1684,1641,-43,-2.55,-16764.84,97.45,B,656557.92,639793.08
MAT-02773,Reagente Aço,Químico,863,841,-22,-2.55,-92.62,97.45,B,3633.23,3540.61
MAT-06001,Rolamento Plástico,Peças,4809,4931,122,2.54,11965.30221856105,97.46,B,471648.6751562303,483613.9773747913
MAT-06001,PASTA LATÃO,Escritório,786,766,-20,-2.54,-10180.830684616,97.46,B,400106.6459054088,389925.8152207928
MAT-06001,Lâmpada Aço,Elétrico,3741,3646,-95,-2.54,-628.4037296285127,97.46,B,24745.877395160696,24117.473665532183
MAT-01778,Mangueira Aço,Hidráulico,3733,3638,-95,-2.54,-108731.3,97.46,B,4272567.82,4163836.52
MAT-02569,"Cabo 2,5mm² Latão",Elétrico,3625,3533,-92,-2.54,-0.0,97.46,B,0.0,0.0
MAT-00404,Bota Cobre,EPI,4685,4804,119,2.54,844.9,97.46,B,33263.5,34108.4
MAT-00799,Plástico Cobre,Embalagem,4641,4523,-118,-2.54,-1130.44,97.46,B,44460.78,43330.340000000004
MAT-00820,Conexão Inox,Pneumático,3980,4081,101,2.54,55085.399999999994,97.46,B,2170692.0,2225777.4
MAT-01758,Capacete Latão,EPI,315,323,8,2.54,418.32,97.46,B,16471.35,16889.67
MAT-00054,Caneta Cobre,Escritório,2988,3064,76,2.54,32.68,97.46,B,1284.84,1317.52
MAT-02561,Óleo Plástico,Lubrificante,4971,5097,126,2.53,175.14,97.47,B,6909.69,7084.83
MAT-00307,Eixo Plástico,Mecânico,3676,3583,-93,-2.53,-20.46,97.47,B,808.72,788.26
MAT-02448,Papelão Inox,Embalagem,4466,4353,-113,-2.53,-7213.92,97.47,B,285109.44,277895.52
MAT-00592,mangueira PVC,Hidráulico,1461,1498,37,2.53,1430.79,97.47,B,56496.87,57927.66
MAT-00101,Anel Alumínio,Peças,3086,3008,-78,-2.53,-377.52,97.47,B,14936.24,14558.72
MAT-02520,retentor Plástico,Peças,2643,2710,67,2.53,471.68,97.47,B,18606.72,19078.4
MAT-02519,"Tubo 2"" Aço",Hidráulico,237,243,6,2.53,240.78000000000003,97.47,B,9510.810000000001,9751.59
MAT-00053,Furadeira Alumínio,Ferramentas,3242,3160,-82,-2.53,-247.64000000000001,97.47,B,9790.84,9543.2
MAT-02384,Registro em Plástico,Hidráulico,789,769,-20,-2.53,-0.0,97.47,B,0.0,0.0
MAT-00198,Porca M12 Alumínio,Fixação,1973,2023,50,2.53,51706.50000000001,97.47,B,2040338.4900000002,2092044.9900000002
MAT-02597,Luva XG Cobre,EPI,1542,1581,39,2.53,345.53999999999996,97.47,B,13662.119999999999,14007.66
MAT-01859,rolamento Aço,Peças,554,540,-14,-2.53,-1093.26,97.47,B,43261.86,42168.6
MAT-02153,Conexão em Cobre,Pneumático,3123,3044,-79,-2.53,-111469.0,97.47,B,4406553.0,4295084.0
MAT-01060,Etiqueta Alumínio,Embalagem,868,890,22,2.53,1912.02,97.47,B,75437.87999999999,77349.9
MAT-02146,Cabo 16mm² Plástico,Elétrico,4895,4771,-124,-2.53,-10242.4,97.47,B,404327.0,394084.6
MAT-02217,Tomada PVC,Elétrico,3597,3688,91,2.53,25.480000000000004,97.47,B,1007.1600000000001,1032.64
MAT-02627,Junta Alumínio,Peças,2846,2774,-72,-2.53,-2165.04,97.47,B,85579.22,83414.18000000001
MAT-00220,Graxa Plástico,Lubrificante,2939,2865,-74,-2.52,-361.85999999999996,97.48,B,14371.71,14009.849999999999
MAT-02537,Junta Latão,Peças,3300,3217,-83,-2.52,-6063.15,97.48,B,241065.0,235001.84999999998
MAT-02769,Sensor PVC,Eletrônico,3647,3739,92,2.52,56533.08,97.48,B,2241045.0300000003,2297578.11
MAT-06001,FURADEIRA PVC,Ferramentas,4405,4516,111,2.52,95520.77847674106,97.48,B,3790711.974685084,3886232.7531618252
MAT-01571,Pasta em PVC,Lubrificante,159,163,4,2.52,286.4,97.48,B,11384.4,11670.8
MAT-01564,Mangueira PVC,Hidráulico,2735,2666,-69,-2.52,-333.96,97.48,B,13237.4,12903.44
MAT-01421,Pasta Inox,Escritório,3889,3987,98,2.52,5603.64,97.48,B,222373.02,227976.66
MAT-01742,Mangueira Alumínio,Pneumático,4246,4353,107,2.52,508.25,97.48,B,20168.5,20676.75
MAT-01888,Anel Cobre,Peças,476,488,12,2.52,73.32000000000001,97.48,B,2908.36,2981.6800000000003
MAT-00400,Balde Latão,Limpeza,3605,3696,91,2.52,582.4,97.48,B,23072.0,23654.4
MAT-01418,Plástico em Aço,Embalagem,3863,3960,97,2.51,426.8,97.49,B,16997.2,17424.0
MAT-06001,Caixa Plástico,Embalagem,2267,2210,-57,-2.51,-450.3395644238398,97.49,B,17910.873553488505,17460.533989064665
MAT-02865,Capacitor Cobre,Eletrônico,2943,3017,74,2.51,429.2,97.49,B,17069.399999999998,17498.6
MAT-01025,Retentor Cobre,Peças,3861,3764,-97,-2.51,-3914.92,97.49,B,155829.96,151915.04
MAT-00150,Base Cobre,Químico,4865,4743,-122,-2.51,-3867.4,97.49,B,154220.5,150353.1
MAT-00210,Grampeador Inox,Escritório,2629,2695,66,2.51,452.76000000000005,97.49,B,18034.940000000002,18487.7
MAT-06001,Conexão Aço,Pneumático,3148,3069,-79,-2.51,-124.92087570710414,97.49,B,4977.8597053919475,4852.938829684843
MAT-02360,Pano Plástico,Limpeza,4578,4693,115,2.51,2892.25,97.49,B,115136.7,118028.95
MAT-01592,Grampeador Cobre,Escritório,3584,3494,-90,-2.51,-298.8,97.49,B,11898.88,11600.08
MAT-02531,Caixa Aço,Embalagem,2865,2937,72,2.51,660.24,97.49,B,26272.05,26932.29
MAT-01913,Cabo 4mm² Cobre,Elétrico,1596,1556,-40,-2.51,-1178.4,97.49,B,47018.16,45839.76
MAT-06001,Cabo 4mm² Plástico,Elétrico,1316,1283,-33,-2.51,-93.436698386057,97.49,B,3726.142275031849,3632.705576645792
MAT-00559,Cabo 16mm² Plástico,Elétrico,876,898,22,2.51,13493.26,97.49,B,537277.0800000001,550770.3400000001
MAT-00928,Caneta Cobre,Escritório,517,504,-13,-2.51,-0.0,97.49,B,0.0,0.0
MAT-01865,Clips Cobre,Escritório,40,39,-1,-2.5,-58.71,97.5,B,2348.4,2289.69
MAT-00028,Correia Latão,Mecânico,3116,3194,78,2.5,599.04,97.5,B,23930.879999999997,24529.92
MAT-06001,ÓCULOS COBRE,EPI,40,39,-1,-2.5,-88.2590882703014,97.5,B,3530.363530812056,3442.104442541755
MAT-06001,Reagente Plástico,Químico,360,351,-9,-2.5,-6231.783941973102,97.5,B,249271.35767892405,243039.57373695096
MAT-01103,Retentor Aço,Peças,4646,4762,116,2.5,575.36,97.5,B,23044.16,23619.52
MAT-01545,Serra Plástico,Ferramentas,2897,2825,-72,-2.49,-21504.96,97.51,B,865275.96,843771.0
MAT-06001,VASSOURA EM LATÃO,Limpeza,3970,3871,-99,-2.49,-63822.33167658549,97.51,B,2559339.9672327717,2495517.635556186
MAT-00784,engrenagem PVC,Mecânico,1205,1175,-30,-2.49,-66.9,97.51,B,2687.15,2620.25
MAT-02418,Retentor Cobre,Peças,4668,4552,-116,-2.49,-1375.76,97.51,B,55362.479999999996,53986.719999999994
MAT-02503,Resistor Latão,Eletrônico,3097,3020,-77,-2.49,-79209.90000000001,97.51,B,3185883.9000000004,3106674.0
MAT-02903,Solvente Cobre,Químico,885,863,-22,-2.49,-215.38,97.51,B,8664.15,8448.769999999999
MAT-00772,Clips Aço,Escritório,1006,981,-25,-2.49,-564.5,97.51,B,22715.48,22150.98
MAT-01764,Papel em Aço,Escritório,884,906,22,2.49,5472.0599999999995,97.51,B,219877.31999999998,225349.38
MAT-01808,Cilindro Plástico,Pneumático,4975,4851,-124,-2.49,-1703.76,97.51,B,68356.5,66652.74
MAT-00788,Tomada Cobre,Elétrico,1608,1568,-40,-2.49,-61920.4,97.51,B,2489200.08,2427279.68
MAT-06001,Óleo Plástico,Lubrificante,4261,4155,-106,-2.49,-860.3154744544792,97.51,B,34583.05883632581,33722.743361871326
MAT-06001,ANEL PLÁSTICO,Peças,2692,2759,67,2.49,151.47857227127534,97.51,B,6086.273381407063,6237.751953678338
MAT-00302,Ácido Cobre,Químico,4997,4873,-124,-2.48,-2112.96,97.52,B,85148.87999999999,83035.92
MAT-02815,Conexão Cobre,Pneumático,2093,2041,-52,-2.48,-397.8,97.52,B,16011.45,15613.650000000001
