descricao,qtd_duplicatas,codigos_todos,codigo_manter,codigos_eliminar,categoria,valor_total_estoque,preco_medio,estoque_total
Graxa Inox,11,"MAT-00059, MAT-00176, MAT-00522, MAT-00719, MAT-01001, MAT-01210, MAT-01464, MAT-01473, MAT-01863, MAT-02539, MAT-02606",MAT-01863,"MAT-00059, MAT-00176, MAT-00522, MAT-00719, MAT-01001, MAT-01210, MAT-01464, MAT-01473, MAT-02539, MAT-02606",Lubrificante,7175544.58,265.20454545454544,25697
Caixa PVC,6,"MAT-00414, MAT-00646, MAT-01522, MAT-02181, MAT-02582, MAT-02673",MAT-01522,"MAT-00414, MAT-00646, MAT-02181, MAT-02582, MAT-02673",Embalagem,6995400.079999999,351.84166666666664,21849
LED PVC,8,"MAT-00622, MAT-00677, MAT-01276, MAT-01338, MAT-01368, MAT-01761, MAT-01916, MAT-02671",MAT-01916,"MAT-00622, MAT-00677, MAT-01276, MAT-01338, MAT-01368, MAT-01761, MAT-02671",Eletrônico,6858520.7,266.9975,18836
"Tubo 3/4"" Aço",4,"MAT-00259, MAT-01196, MAT-02564, MAT-02791",MAT-00259,"MAT-01196, MAT-02564, MAT-02791",Hidráulico,6851448.24,370.9625,14178
Furadeira Latão,3,"MAT-00346, MAT-00850, MAT-02893",MAT-02893,"MAT-00346, MAT-00850",Ferramentas,6792636.38,540.6366666666667,9457
Parafuso M10 Cobre,2,"MAT-01648, MAT-02849",MAT-02849,MAT-01648,Fixação,6791698.31,779.4649999999999,4909
Desinfetante Aço,8,"MAT-00172, MAT-00455, MAT-01035, MAT-01214, MAT-01371, MAT-01508, MAT-01665, MAT-02254",MAT-00172,"MAT-00455, MAT-01035, MAT-01214, MAT-01371, MAT-01508, MAT-01665, MAT-02254",Limpeza,6777321.36,297.29375000000005,17770
Clipe Inox,7,"MAT-00115, MAT-00529, MAT-00980, MAT-01770, MAT-02554, MAT-02904, MAT-06001",MAT-02904,"MAT-00115, MAT-00529, MAT-00980, MAT-01770, MAT-02554, MAT-06001",Acessórios,6774915.668241923,669.2781528433874,13580
Gancho Latão,7,"MAT-00143, MAT-01282, MAT-01488, MAT-01510, MAT-02119, MAT-02560, MAT-06001",MAT-01282,"MAT-00143, MAT-01488, MAT-01510, MAT-02119, MAT-02560, MAT-06001",Acessórios,6773642.6986857215,467.1503757468922,20883
Correia Inox,10,"MAT-00159, MAT-00301, MAT-00580, MAT-00853, MAT-01112, MAT-01323, MAT-01514, MAT-02086, MAT-02259, MAT-02304",MAT-01514,"MAT-00159, MAT-00301, MAT-00580, MAT-00853, MAT-01112, MAT-01323, MAT-02086, MAT-02259, MAT-02304",Mecânico,6593544.85,349.546,25025
Óculos PVC,6,"MAT-00161, MAT-00518, MAT-01650, MAT-01839, MAT-02501, MAT-06001",MAT-01650,"MAT-00161, MAT-00518, MAT-01839, MAT-02501, MAT-06001",EPI,6567485.472409962,308.9425244064958,18678
Rolamento Plástico,7,"MAT-01010, MAT-01490, MAT-01647, MAT-02647, MAT-02768, MAT-02943, MAT-06001",MAT-01647,"MAT-01010, MAT-01490, MAT-02647, MAT-02768, MAT-02943, MAT-06001",MÚLTIPLAS,6503936.985156231,235.31946395616046,21780
Eixo Plástico,4,"MAT-00307, MAT-00326, MAT-02456, MAT-02757",MAT-02456,"MAT-00307, MAT-00326, MAT-02757",Mecânico,6461949.1,354.36749999999995,14906
Fita Latão,5,"MAT-00317, MAT-00736, MAT-01031, MAT-02038, MAT-02389",MAT-00736,"MAT-00317, MAT-01031, MAT-02038, MAT-02389",Embalagem,6379198.58,564.8520000000001,9437
Interruptor Alumínio,6,"MAT-00128, MAT-00322, MAT-00511, MAT-00641, MAT-02505, MAT-06001",MAT-00511,"MAT-00128, MAT-00322, MAT-00641, MAT-02505, MAT-06001",Elétrico,6308626.699115927,241.42167425560186,20878
Porca M6 Inox,2,"MAT-00611, MAT-02059",MAT-00611,MAT-02059,Fixação,6297424.9399999995,647.48,8708
Módulo Plástico,4,"MAT-00021, MAT-00786, MAT-01149, MAT-01474",MAT-00786,"MAT-00021, MAT-01149, MAT-01474",Eletrônico,6243344.06,378.9825,10615
Solvente Inox,5,"MAT-00201, MAT-00851, MAT-02705, MAT-02921, MAT-06001",MAT-00851,"MAT-00201, MAT-02705, MAT-02921, MAT-06001",Químico,6237952.259324181,564.6032002323789,13525
Sensor Cobre,6,"MAT-01138, MAT-02078, MAT-02249, MAT-02344, MAT-02425, MAT-02674",MAT-01138,"MAT-02078, MAT-02249, MAT-02344, MAT-02425, MAT-02674",Eletrônico,6209881.7299999995,390.1716666666666,19397
Óleo PVC,4,"MAT-00123, MAT-00228, MAT-01071, MAT-02592",MAT-02592,"MAT-00123, MAT-00228, MAT-01071",Lubrificante,6184527.18,386.4425,8332
Bota PVC,9,"MAT-00088, MAT-01119, MAT-01170, MAT-01533, MAT-02128, MAT-02240, MAT-02393, MAT-02485, MAT-06001",MAT-02128,"MAT-00088, MAT-01119, MAT-01170, MAT-01533, MAT-02240, MAT-02393, MAT-02485, MAT-06001",EPI,6145188.415191653,359.9321562734828,22322
Reagente Plástico,6,"MAT-00290, MAT-00401, MAT-00563, MAT-00944, MAT-01641, MAT-06001",MAT-00401,"MAT-00290, MAT-00563, MAT-00944, MAT-01641, MAT-06001",Químico,6052836.837678924,501.72507299950195,14151
Base Aço,8,"MAT-00279, MAT-00621, MAT-01481, MAT-01949, MAT-02323, MAT-02403, MAT-02530, MAT-02869",MAT-02869,"MAT-00279, MAT-00621, MAT-01481, MAT-01949, MAT-02323, MAT-02403, MAT-02530",Químico,6045045.93,225.3,22507
Etiqueta em Plástico,2,"MAT-01367, MAT-02783",MAT-01367,MAT-02783,Embalagem,6031763.72,914.9399999999999,4894
Interruptor Cobre,3,"MAT-01034, MAT-01339, MAT-02566",MAT-01034,"MAT-01339, MAT-02566",Elétrico,5992166.42,419.7466666666667,10733
Bota Alumínio,6,"MAT-00203, MAT-02068, MAT-02424, MAT-02515, MAT-02841, MAT-06001",MAT-02068,"MAT-00203, MAT-02424, MAT-02515, MAT-02841, MAT-06001",EPI,5969044.512824845,230.83522745102638,21095
Junta Inox,5,"MAT-00541, MAT-00671, MAT-01236, MAT-01372, MAT-02715",MAT-01236,"MAT-00541, MAT-00671, MAT-01372, MAT-02715",Peças,5957845.55,269.166,16358
Sensor Plástico,8,"MAT-00558, MAT-00713, MAT-01539, MAT-01602, MAT-01713, MAT-01994, MAT-02104, MAT-02823",MAT-01994,"MAT-00558, MAT-00713, MAT-01539, MAT-01602, MAT-01713, MAT-02104, MAT-02823",Eletrônico,5922776.33,214.59000000000003,19547
Tomada Alumínio,10,"MAT-00855, MAT-00906, MAT-01120, MAT-01359, MAT-01566, MAT-01698, MAT-01700, MAT-02290, MAT-02460, MAT-02724",MAT-02290,"MAT-00855, MAT-00906, MAT-01120, MAT-01359, MAT-01566, MAT-01698, MAT-01700, MAT-02460, MAT-02724",Elétrico,5838669.99,320.648,18409
Serra Latão,10,"MAT-00206, MAT-00953, MAT-01462, MAT-02645, MAT-02708, MAT-02736, MAT-02884, MAT-02912, MAT-06001, MAT-06001",MAT-02912,"MAT-00206, MAT-00953, MAT-01462, MAT-02645, MAT-02708, MAT-02736, MAT-02884, MAT-06001, MAT-06001",Ferramentas,5819089.78255303,126.7869554111276,32628
Papelão PVC,7,"MAT-00063, MAT-00785, MAT-00907, MAT-00976, MAT-01325, MAT-01335, MAT-02428",MAT-00907,"MAT-00063, MAT-00785, MAT-00976, MAT-01325, MAT-01335, MAT-02428",Embalagem,5798674.0600000005,518.2142857142857,21438
Furadeira Inox,6,"MAT-00331, MAT-01246, MAT-01558, MAT-01627, MAT-01875, MAT-02037",MAT-01558,"MAT-00331, MAT-01246, MAT-01627, MAT-01875, MAT-02037",Ferramentas,5772867.949999999,712.7466666666666,13872
Prego Alumínio,6,"MAT-01461, MAT-01683, MAT-01881, MAT-02053, MAT-02675, MAT-06001",MAT-02053,"MAT-01461, MAT-01683, MAT-01881, MAT-02675, MAT-06001",Fixação,5746775.754658248,420.52250765777234,16798
Cabo 6mm² PVC,3,"MAT-00927, MAT-01087, MAT-06001",MAT-01087,"MAT-00927, MAT-06001",Elétrico,5710910.370667658,1035.1455285302989,3945
LED Aço,7,"MAT-00257, MAT-00523, MAT-02144, MAT-02152, MAT-02466, MAT-02680, MAT-02778",MAT-02466,"MAT-00257, MAT-00523, MAT-02144, MAT-02152, MAT-02680, MAT-02778",Eletrônico,5670617.75,201.6757142857143,16959
Mangueira Aço,11,"MAT-00152, MAT-01410, MAT-01778, MAT-01871, MAT-02163, MAT-02280, MAT-02435, MAT-02516, MAT-02580, MAT-02763, MAT-06001",MAT-01410,"MAT-00152, MAT-01778, MAT-01871, MAT-02163, MAT-02280, MAT-02435, MAT-02516, MAT-02580, MAT-02763, MAT-06001",MÚLTIPLAS,5660510.990880844,168.5624312639974,28735
Solvente Cobre,5,"MAT-00470, MAT-01250, MAT-02066, MAT-02200, MAT-02903",MAT-01250,"MAT-00470, MAT-02066, MAT-02200, MAT-02903",Químico,5532193.23,411.58200000000005,13538
Resistor Latão,9,"MAT-00267, MAT-00358, MAT-02019, MAT-02039, MAT-02169, MAT-02503, MAT-02509, MAT-02906, MAT-06001",MAT-02169,"MAT-00267, MAT-00358, MAT-02019, MAT-02039, MAT-02503, MAT-02509, MAT-02906, MAT-06001",Eletrônico,5495268.24180381,186.15186517760176,27573
Sensor Inox,4,"MAT-01054, MAT-01860, MAT-02303, MAT-02723",MAT-01860,"MAT-01054, MAT-02303, MAT-02723",Eletrônico,5394254.02,298.98249999999996,7969
Plástico Alumínio,5,"MAT-00056, MAT-01065, MAT-01795, MAT-02334, MAT-02888",MAT-02888,"MAT-00056, MAT-01065, MAT-01795, MAT-02334",Embalagem,5347452.71,420.84399999999994,14335
Disjuntor Cobre,2,"MAT-01504, MAT-02253",MAT-02253,MAT-01504,Elétrico,5280597.600000001,893.1750000000001,6647
Conexão Alumínio,10,"MAT-00557, MAT-01315, MAT-01518, MAT-01593, MAT-01879, MAT-02524, MAT-02738, MAT-02907, MAT-06001, MAT-06001",MAT-02907,"MAT-00557, MAT-01315, MAT-01518, MAT-01593, MAT-01879, MAT-02524, MAT-02738, MAT-06001, MAT-06001",MÚLTIPLAS,5259363.322734185,148.31559861068382,27311
Clips Cobre,7,"MAT-00464, MAT-00993, MAT-01865, MAT-02312, MAT-02616, MAT-02846, MAT-02920",MAT-02920,"MAT-00464, MAT-00993, MAT-01865, MAT-02312, MAT-02616, MAT-02846",Escritório,5250719.119999999,262.2914285714285,18028
Mangueira PVC,15,"MAT-00216, MAT-00592, MAT-01027, MAT-01063, MAT-01081, MAT-01137, MAT-01564, MAT-01690, MAT-01780, MAT-01934, MAT-02094, MAT-02286, MAT-02649, MAT-06001, MAT-06001",MAT-02649,"MAT-00216, MAT-00592, MAT-01027, MAT-01063, MAT-01081, MAT-01137, MAT-01564, MAT-01690, MAT-01780, MAT-01934, MAT-02094, MAT-02286, MAT-06001, MAT-06001",MÚLTIPLAS,5249091.4535816815,305.0591329313021,29282
Suporte Cobre,8,"MAT-00118, MAT-00166, MAT-00395, MAT-00889, MAT-00998, MAT-01603, MAT-02326, MAT-02742",MAT-00395,"MAT-00118, MAT-00166, MAT-00889, MAT-00998, MAT-01603, MAT-02326, MAT-02742",Acessórios,5202267.59,315.35625,20389
Máscara PVC,2,"MAT-01636, MAT-02225",MAT-01636,MAT-02225,EPI,5196187.6,893.11,3350
Clips Latão,11,"MAT-00717, MAT-00975, MAT-01150, MAT-01704, MAT-01816, MAT-01841, MAT-02450, MAT-02486, MAT-02844, MAT-06001, MAT-06001",MAT-00975,"MAT-00717, MAT-01150, MAT-01704, MAT-01816, MAT-01841, MAT-02450, MAT-02486, MAT-02844, MAT-06001, MAT-06001",Escritório,5187637.971845991,167.47436081327564,20464
Pasta PVC,9,"MAT-00094, MAT-00229, MAT-00247, MAT-00421, MAT-01075, MAT-02083, MAT-02188, MAT-02693, MAT-06001",MAT-02188,"MAT-00094, MAT-00229, MAT-00247, MAT-00421, MAT-01075, MAT-02083, MAT-02693, MAT-06001",MÚLTIPLAS,5152464.453349472,331.2923106194668,28641
Vassoura em Latão,2,"MAT-00045, MAT-06001",MAT-00045,MAT-06001,Limpeza,5128962.167232772,645.9650084676034,7940
Rebite Plástico,4,"MAT-01115, MAT-01175, MAT-01229, MAT-02187",MAT-01175,"MAT-01115, MAT-01229, MAT-02187",Fixação,5017740.17,330.5225,13601
Catalisador Alumínio,5,"MAT-00190, MAT-00679, MAT-01211, MAT-01743, MAT-02196",MAT-01211,"MAT-00190, MAT-00679, MAT-01743, MAT-02196",Químico,4948846.51,349.648,16282
Capacete Aço,5,"MAT-01378, MAT-01978, MAT-02404, MAT-06001, MAT-06001",MAT-01978,"MAT-01378, MAT-02404, MAT-06001, MAT-06001",EPI,4925091.742180855,476.7546035874805,14906
Alicate Alumínio,7,"MAT-00381, MAT-00686, MAT-01321, MAT-01534, MAT-01959, MAT-02838, MAT-06001",MAT-01959,"MAT-00381, MAT-00686, MAT-01321, MAT-01534, MAT-02838, MAT-06001",Ferramentas,4923306.178678273,207.93155897687151,20712
suporte Alumínio,6,"MAT-00205, MAT-00361, MAT-00981, MAT-01542, MAT-02340, MAT-02637",MAT-00981,"MAT-00205, MAT-00361, MAT-01542, MAT-02340, MAT-02637",Acessórios,4907062.12,335.2383333333334,18183
Conexão Latão,9,"MAT-00179, MAT-00771, MAT-01541, MAT-01676, MAT-01803, MAT-02054, MAT-02333, MAT-02743, MAT-02852",MAT-02054,"MAT-00179, MAT-00771, MAT-01541, MAT-01676, MAT-01803, MAT-02333, MAT-02743, MAT-02852",MÚLTIPLAS,4895059.83,300.1388888888889,21974
Grampeador Cobre,6,"MAT-01033, MAT-01384, MAT-01469, MAT-01592, MAT-02472, MAT-06001",MAT-01033,"MAT-01384, MAT-01469, MAT-01592, MAT-02472, MAT-06001",Escritório,4854363.233391059,236.2438487586727,19951
Graxa Plástico,4,"MAT-00220, MAT-01836, MAT-01941, MAT-06001",MAT-01941,"MAT-00220, MAT-01836, MAT-06001",Lubrificante,4820941.164096991,401.43619862120977,14154
Filtro Latão,4,"MAT-00249, MAT-00821, MAT-02076, MAT-02206",MAT-02076,"MAT-00249, MAT-00821, MAT-02206",Pneumático,4817885.96,1090.47,6180
Vedação PVC,4,"MAT-00343, MAT-00943, MAT-01721, MAT-02171",MAT-02171,"MAT-00343, MAT-00943, MAT-01721",Peças,4706233.079999999,854.3824999999999,6981
Bucha Plástico,7,"MAT-00109, MAT-00116, MAT-00222, MAT-01199, MAT-02029, MAT-02781, MAT-06001",MAT-00222,"MAT-00109, MAT-00116, MAT-01199, MAT-02029, MAT-02781, MAT-06001",Mecânico,4605750.75196644,269.0625157121065,21372
Vassoura Aço,4,"MAT-00178, MAT-00895, MAT-01393, MAT-01458",MAT-00895,"MAT-00178, MAT-01393, MAT-01458",Limpeza,4595991.18,347.80749999999995,10452
Bucha PVC,7,"MAT-00360, MAT-00406, MAT-00547, MAT-01295, MAT-02058, MAT-02093, MAT-06001",MAT-02058,"MAT-00360, MAT-00406, MAT-00547, MAT-01295, MAT-02093, MAT-06001",Mecânico,4560077.62370597,169.36160956582376,13959
Rolamento Cobre,5,"MAT-00083, MAT-01252, MAT-01791, MAT-02868, MAT-02890",MAT-01791,"MAT-00083, MAT-01252, MAT-02868, MAT-02890",MÚLTIPLAS,4501889.82,640.1700000000001,9828
Cabo 4mm² Aço,2,"MAT-00727, MAT-02605",MAT-02605,MAT-00727,Elétrico,4501076.4,939.39,5221
Cilindro Plástico,10,"MAT-00020, MAT-00378, MAT-00694, MAT-00724, MAT-00756, MAT-01503, MAT-01617, MAT-01808, MAT-02209, MAT-02668",MAT-01808,"MAT-00020, MAT-00378, MAT-00694, MAT-00724, MAT-00756, MAT-01503, MAT-01617, MAT-02209, MAT-02668",Pneumático,4448732.14,270.86199999999997,27456
Engrenagem Alumínio,2,"MAT-02443, MAT-02925",MAT-02925,MAT-02443,Mecânico,4417765.44,538.93,4508
Rolamento Latão,8,"MAT-00093, MAT-00121, MAT-00962, MAT-01912, MAT-02292, MAT-02608, MAT-02611, MAT-02704",MAT-00093,"MAT-00121, MAT-00962, MAT-01912, MAT-02292, MAT-02608, MAT-02611, MAT-02704",MÚLTIPLAS,4401445.95,179.76125,25515
Arruela Latão,5,"MAT-00570, MAT-01240, MAT-01361, MAT-02033, MAT-02855",MAT-01240,"MAT-00570, MAT-01361, MAT-02033, MAT-02855",Fixação,4309445.7299999995,475.3,8594
Papelão Inox,7,"MAT-00155, MAT-00668, MAT-00720, MAT-00874, MAT-01622, MAT-02448, MAT-02764",MAT-02448,"MAT-00155, MAT-00668, MAT-00720, MAT-00874, MAT-01622, MAT-02764",Embalagem,4283945.22,228.5414285714285,18890
Caneta Alumínio,7,"MAT-00288, MAT-00350, MAT-00893, MAT-01011, MAT-02406, MAT-02585, MAT-06001",MAT-02406,"MAT-00288, MAT-00350, MAT-00893, MAT-01011, MAT-02585, MAT-06001",Escritório,4247163.092533699,289.98025493303385,21538
Eixo PVC,3,"MAT-00044, MAT-01477, MAT-02706",MAT-00044,"MAT-01477, MAT-02706",Mecânico,4243769.74,648.9333333333333,7669
Cabo 6mm² Inox,2,"MAT-01032, MAT-02141",MAT-01032,MAT-02141,Elétrico,4229444.25,563.175,6256
Correia Alumínio,12,"MAT-01411, MAT-01529, MAT-01537, MAT-01754, MAT-01807, MAT-01882, MAT-01887, MAT-01993, MAT-02101, MAT-06001, MAT-06001, MAT-06001",MAT-01882,"MAT-01411, MAT-01529, MAT-01537, MAT-01754, MAT-01807, MAT-01887, MAT-01993, MAT-02101, MAT-06001, MAT-06001, MAT-06001",Mecânico,4212959.998971458,120.19403787308151,32900
Rebite Cobre,9,"MAT-00714, MAT-01093, MAT-01326, MAT-01939, MAT-02172, MAT-02220, MAT-02289, MAT-02348, MAT-02810",MAT-01939,"MAT-00714, MAT-01093, MAT-01326, MAT-02172, MAT-02220, MAT-02289, MAT-02348, MAT-02810",Fixação,4189920.73,239.6977777777778,20941
Abraçadeira Latão,4,"MAT-00437, MAT-00826, MAT-02014, MAT-06001",MAT-02014,"MAT-00437, MAT-00826, MAT-06001",Acessórios,4178969.235788764,545.9093351688983,7979
Óleo Latão,5,"MAT-01080, MAT-01734, MAT-01838, MAT-01972, MAT-02251",MAT-01838,"MAT-01080, MAT-01734, MAT-01972, MAT-02251",Lubrificante,4168296.3200000003,474.66400000000004,10961
Rebite Inox,8,"MAT-00126, MAT-00163, MAT-01125, MAT-01213, MAT-01943, MAT-02426, MAT-02512, MAT-02833",MAT-00126,"MAT-00163, MAT-01125, MAT-01213, MAT-01943, MAT-02426, MAT-02512, MAT-02833",Fixação,4161067.14,187.45250000000001,24625
Base Inox,4,"MAT-00348, MAT-00597, MAT-01485, MAT-02787",MAT-01485,"MAT-00348, MAT-00597, MAT-02787",Químico,4102837.7,452.1575,11465
LED Inox,12,"MAT-00174, MAT-00585, MAT-01008, MAT-01299, MAT-01500, MAT-01526, MAT-01948, MAT-02427, MAT-02669, MAT-02793, MAT-06001, MAT-06001",MAT-01008,"MAT-00174, MAT-00585, MAT-01299, MAT-01500, MAT-01526, MAT-01948, MAT-02427, MAT-02669, MAT-02793, MAT-06001, MAT-06001",Eletrônico,4094499.560820762,103.03819603454029,39719
Parafuso M12 Alumínio,2,"MAT-00485, MAT-01656",MAT-01656,MAT-00485,Fixação,4007250.73,1168.9,3331
Lâmpada Inox,9,"MAT-00278, MAT-00590, MAT-01395, MAT-01810, MAT-01828, MAT-02100, MAT-02740, MAT-02876, MAT-06001",MAT-00278,"MAT-00590, MAT-01395, MAT-01810, MAT-01828, MAT-02100, MAT-02740, MAT-02876, MAT-06001",Elétrico,3974145.3898489806,246.65711704513342,21741
Correia Plástico,9,"MAT-00030, MAT-01347, MAT-01654, MAT-02126, MAT-02158, MAT-02227, MAT-02646, MAT-02972, MAT-06001",MAT-02646,"MAT-00030, MAT-01347, MAT-01654, MAT-02126, MAT-02158, MAT-02227, MAT-02972, MAT-06001",Mecânico,3966376.112358672,170.77500289976632,25502
Abraçadeira Aço,3,"MAT-00487, MAT-02366, MAT-02959",MAT-02959,"MAT-00487, MAT-02366",Acessórios,3949699.42,524.44,9579
Mangueira Latão,8,"MAT-00366, MAT-00428, MAT-00684, MAT-00845, MAT-01222, MAT-01850, MAT-02568, MAT-06001",MAT-01850,"MAT-00366, MAT-00428, MAT-00684, MAT-00845, MAT-01222, MAT-02568, MAT-06001",MÚLTIPLAS,3949319.281437852,122.70142140467397,26156
Pasta Plástico,18,"MAT-00369, MAT-00639, MAT-00651, MAT-01085, MAT-01202, MAT-01230, MAT-01356, MAT-01422, MAT-01756, MAT-01975, MAT-02006, MAT-02230, MAT-02454, MAT-02477, MAT-02662, MAT-06001, MAT-06001, MAT-06001",MAT-01230,"MAT-00369, MAT-00639, MAT-00651, MAT-01085, MAT-01202, MAT-01356, MAT-01422, MAT-01756, MAT-01975, MAT-02006, MAT-02230, MAT-02454, MAT-02477, MAT-02662, MAT-06001, MAT-06001, MAT-06001",MÚLTIPLAS,3907187.3842103463,99.43841236206089,37009
registro Aço,4,"MAT-00681, MAT-00774, MAT-02308, MAT-06001",MAT-02308,"MAT-00681, MAT-00774, MAT-06001",Hidráulico,3894012.572333748,465.98687519684114,10123
Desinfetante Cobre,6,"MAT-00040, MAT-00347, MAT-00520, MAT-00626, MAT-01498, MAT-02828",MAT-02828,"MAT-00040, MAT-00347, MAT-00520, MAT-00626, MAT-01498",Limpeza,3879169.73,333.09666666666664,11834
Furadeira Alumínio,5,"MAT-00053, MAT-00632, MAT-00823, MAT-01352, MAT-01493",MAT-00632,"MAT-00053, MAT-00823, MAT-01352, MAT-01493",Ferramentas,3856900.92,167.956,14242
Caneta Latão,5,"MAT-00666, MAT-01056, MAT-01625, MAT-02177, MAT-02651",MAT-00666,"MAT-01056, MAT-01625, MAT-02177, MAT-02651",Escritório,3818394.3499999996,199.462,14966
Balde Latão,9,"MAT-00099, MAT-00400, MAT-00638, MAT-01124, MAT-02517, MAT-02744, MAT-02792, MAT-02886, MAT-06001",MAT-02517,"MAT-00099, MAT-00400, MAT-00638, MAT-01124, MAT-02744, MAT-02792, MAT-02886, MAT-06001",Limpeza,3807640.3183076247,287.3603963109146,25402
Disjuntor Aço,7,"MAT-00474, MAT-00707, MAT-00939, MAT-01023, MAT-01296, MAT-01320, MAT-06001",MAT-01023,"MAT-00474, MAT-00707, MAT-00939, MAT-01296, MAT-01320, MAT-06001",Elétrico,3806641.2370343157,387.30849734444155,21017
Alicate Latão,11,"MAT-00127, MAT-00469, MAT-01041, MAT-01144, MAT-01305, MAT-01725, MAT-01769, MAT-02081, MAT-02534, MAT-03000, MAT-06001",MAT-03000,"MAT-00127, MAT-00469, MAT-01041, MAT-01144, MAT-01305, MAT-01725, MAT-01769, MAT-02081, MAT-02534, MAT-06001",Ferramentas,3801687.021585259,228.07456053334002,25837
Rolamento Inox,16,"MAT-00012, MAT-00169, MAT-00362, MAT-00448, MAT-00904, MAT-00986, MAT-01028, MAT-01043, MAT-01861, MAT-02248, MAT-02432, MAT-02581, MAT-02799, MAT-02982, MAT-06001, MAT-06001",MAT-02799,"MAT-00012, MAT-00169, MAT-00362, MAT-00448, MAT-00904, MAT-00986, MAT-01028, MAT-01043, MAT-01861, MAT-02248, MAT-02432, MAT-02581, MAT-02982, MAT-06001, MAT-06001",MÚLTIPLAS,3722882.9005613187,186.80187267293346,38052
Válvula em PVC,2,"MAT-00537, MAT-06001",MAT-00537,MAT-06001,Hidráulico,3697312.367759091,686.2123919374704,5388
Chave Cobre,6,"MAT-00473, MAT-00510, MAT-00526, MAT-00568, MAT-01453, MAT-01739",MAT-00526,"MAT-00473, MAT-00510, MAT-00568, MAT-01453, MAT-01739",Ferramentas,3690263.63,458.0016666666667,11525
Sensor Alumínio,2,"MAT-00073, MAT-02356",MAT-00073,MAT-02356,Eletrônico,3655984.8699999996,666.045,5553
Correia PVC,6,"MAT-00698, MAT-01588, MAT-01952, MAT-02120, MAT-02405, MAT-06001",MAT-00698,"MAT-01588, MAT-01952, MAT-02120, MAT-02405, MAT-06001",Mecânico,3645935.426525971,205.25697390231724,19126
Luva XG Latão,2,"MAT-00177, MAT-06001",MAT-00177,MAT-06001,EPI,3628487.788820225,390.9165900474278,9282
Clips Alumínio,6,"MAT-00026, MAT-00675, MAT-01258, MAT-01442, MAT-01559, MAT-06001",MAT-00026,"MAT-00675, MAT-01258, MAT-01442, MAT-01559, MAT-06001",Escritório,3559341.264400143,310.439103480867,18710
Rebite Aço,8,"MAT-00033, MAT-01289, MAT-01852, MAT-01982, MAT-02273, MAT-02658, MAT-02790, MAT-06001",MAT-02658,"MAT-00033, MAT-01289, MAT-01852, MAT-01982, MAT-02273, MAT-02790, MAT-06001",Fixação,3553348.5171279656,222.75541712857495,20292
LED Latão,5,"MAT-00955, MAT-01354, MAT-01709, MAT-02258, MAT-02419",MAT-00955,"MAT-01354, MAT-01709, MAT-02258, MAT-02419",Eletrônico,3550524.3500000006,302.41,16220
Caixa Inox,7,"MAT-01293, MAT-01546, MAT-01699, MAT-02148, MAT-02710, MAT-02867, MAT-02988",MAT-01546,"MAT-01293, MAT-01699, MAT-02148, MAT-02710, MAT-02867, MAT-02988",Embalagem,3539164.35,132.64714285714288,18024
Luva M Latão,2,"MAT-01986, MAT-06001",MAT-01986,MAT-06001,EPI,3526882.4562242916,1222.9134730320013,2884
Interruptor Latão,10,"MAT-00168, MAT-00959, MAT-01274, MAT-01275, MAT-01390, MAT-01669, MAT-01735, MAT-02216, MAT-02347, MAT-06001",MAT-00168,"MAT-00959, MAT-01274, MAT-01275, MAT-01390, MAT-01669, MAT-01735, MAT-02216, MAT-02347, MAT-06001",Elétrico,3498114.8899999997,271.201,26538
Cabo 16mm² Aço,3,"MAT-00901, MAT-00949, MAT-01268",MAT-00901,"MAT-00949, MAT-01268",Elétrico,3262883.08,256.5066666666667,5122
Válvula Cobre,12,"MAT-00204, MAT-00425, MAT-00899, MAT-01711, MAT-01877, MAT-01930, MAT-01980, MAT-02049, MAT-02300, MAT-02433, MAT-02794, MAT-06001",MAT-01711,"MAT-00204, MAT-00425, MAT-00899, MAT-01877, MAT-01930, MAT-01980, MAT-02049, MAT-02300, MAT-02433, MAT-02794, MAT-06001",MÚLTIPLAS,3228348.434954691,282.08581294879446,25073
Retentor Aço,6,"MAT-00696, MAT-01103, MAT-01267, MAT-01363, MAT-02257, MAT-06001",MAT-01103,"MAT-00696, MAT-01267, MAT-01363, MAT-02257, MAT-06001",Peças,3220016.3121368377,330.0685540298765,14733
Fita Alumínio,15,"MAT-00024, MAT-00554, MAT-00763, MAT-00804, MAT-00830, MAT-00978, MAT-01224, MAT-01270, MAT-01408, MAT-01470, MAT-01573, MAT-02103, MAT-02197, MAT-06001, MAT-06001",MAT-01573,"MAT-00024, MAT-00554, MAT-00763, MAT-00804, MAT-00830, MAT-00978, MAT-01224, MAT-01270, MAT-01408, MAT-01470, MAT-02103, MAT-02197, MAT-06001, MAT-06001",Embalagem,3218203.2789185336,145.23500519257863,39611
Resistor Aço,5,"MAT-00188, MAT-00282, MAT-00555, MAT-01937, MAT-02346",MAT-00282,"MAT-00188, MAT-00555, MAT-01937, MAT-02346",Eletrônico,3215663.43,150.85600000000002,10923
Resistor Cobre,4,"MAT-00336, MAT-01256, MAT-01716, MAT-06001",MAT-01716,"MAT-00336, MAT-01256, MAT-06001",Eletrônico,3184158.7561030607,311.515133658672,11347
